Sr,SKU,Old Discription,New Discription,Brand,Mfr,IS Duplicate
5829,BM9D8P5,CP Handle,CHICAGO PNEUMATIC Handle,CHICAGO PNEUMATIC,,
5830,BM9D8N9,CP O- Ring P 12,CHICAGO PNEUMATIC O Ring - P12,CHICAGO PNEUMATIC,P12,
5831,BM9D8P1,CP O- Ring P4,CHICAGO PNEUMATIC O Ring - P4,CHICAGO PNEUMATIC,P4,
5832,BM9D8P7,CP Piston,CHICAGO PNEUMATIC Piston,CHICAGO PNEUMATIC,,
5833,BM9D8P8,CP Quick Change Spring,CHICAGO PNEUMATIC Quick Change Spring,CHICAGO PNEUMATIC,,
5834,BM9D8N6,CP Spring Valve,CHICAGO PNEUMATIC Spring Valve,CHICAGO PNEUMATIC,,
5835,BM9D8N7,CP Throttle Valve Assembly,CHICAGO PNEUMATIC Throttle Valve Assembly,CHICAGO PNEUMATIC,,
5836,BM9D8Q3,CP Tune Up Kit,CHICAGO PNEUMATIC Tune Up Kit,CHICAGO PNEUMATIC,,
5837,BM9D8P4,CP Valve Assembly,CHICAGO PNEUMATIC Valve Assembly,CHICAGO PNEUMATIC,,
5838,BM9D8P9,CP Zip Change Retainer,CHICAGO PNEUMATIC Zip Change Retainer,CHICAGO PNEUMATIC,,
5839,BM9D2D8,CINTHOL Fresh Lime Soap 100 Gms,"CINTHOL Soap, Weight 100 Gms",CINTHOL,,
5840,BM0O4N4,CITIZEN REGULAR Calculator,CITIZEN Calculator,CITIZEN,,
5841,BM9A9T6,"CLARO Binder Clip, 32 mm(Set of 12 pcs)","CLARO Binder Clip, Width 32 mm",CLARO,,
5842,BM9J3F3,CLARO Calculator,CLARO Calculator,CLARO,,
5843,BM9C7H6,CLARO Cutter Big,CLARO Cutter Big,CLARO,,
5844,BM9B5L3,CLARO Scientific Calculator,CLARO Scientific Calculator,CLARO,,
5845,BM9K9H3,"Safety valve,1/2 Generic","CLEVELAND Safety Valve, Size 1/2 X 1/2 - KE54941-5",CLEVELAND,KE54941-5,
5846,BM9B1S7,COLIN Glass Cleaner,COLIN Glass Cleaner,COLIN,,
5847,BM9C9K7,"COLIN Glass Cleaner, Capaciy 500 ml","COLIN Glass Cleaner, Capacity 500 ml",COLIN,,
5848,BM9H3C5,COMET Double Compression Cable Gland,COMET Double Compression Cable Gland,COMET,,
5849,BM9M8F2,"COMET Double Compression Gland, Size 22 mm","COMET Double Compression Gland, Size 22 mm",COMET,,
5850,BM9A9J1,"COMET Double Compression Weatherproof Cable Gland, 150 X 3.5 mm","COMET Double Compression Weatherproof Cable Gland, Size 150 X 3.5 mm",COMET,,
5851,BM9A9H8,"COMET Double Compression Weatherproof Cable Gland, 25 X 4 mm","COMET Double Compression Weatherproof Cable Gland, Size 25 X 4 mm",COMET,,
5852,BM9A9J2,"COMET Double Compression Weatherproof Cable Gland, 300 X 3.5 mm","COMET Double Compression Weatherproof Cable Gland, Size 300 X 3.5 mm",COMET,,
5853,BM9A9H9,"COMET Double Compression Weatherproof Cable Gland, 35 X 4 mm","COMET Double Compression Weatherproof Cable Gland, Size 35 X 4 mm",COMET,,
5854,BM3R6A0,"CONA Metal Junction Box, 1 & 2 Module Box - 6601",CONA 1 & 2 Module Metal Junction Box - 6601,CONA,6601,
5855,BM0O2X3,CONA 1 Module Forest / Touch Wood Cover Plate - 11156,CONA 1 Module Forest/Touch Wood Smile Cover Plate - 11156,CONA,11156,
5856,BM0O2W3,CONA 1 Module Smile Snow White Cover Plate - 11111,CONA 1 Module Smile Snow White Smile Cover Plate - 11111,CONA,11111,
5857,BM0O2Y3,CONA 1 Module Snow White Solo Cover Plate - 10291,CONA 1 Module Snow White Solo Cover Plate - 10291,CONA,10291,
5858,BM0O1J2,"CONA 10 Way Double Door SP Neutral Distribution Board, Sheet Enclosure - 9946",CONA 10 Way Double Door Single Pole Neutral Distribution Board - 9946,CONA,9946,
5859,BM0O2Y0,CONA 12 Module Forest / Touch Wood Cover Plate - 11191,CONA 12 Module Forest/Touch Wood Cover Plate - 11191,CONA,11191,
5860,BM3R6A6,"CONA Metal Junction Box, 12 Module Box - 6636",CONA 12 Module Metal Junction Box - 6636,CONA,6636,
5861,BM0O2X0,CONA 12 Module Smile Snow White Cover Plate - 11146,CONA 12 Module Smile Snow White Cover Plate - 11146,CONA,11146,
5862,BM0O2Z0,CONA 12 Module Snow White Solo Cover Plate - 10326,CONA 12 Module Snow White Solo Cover Plate - 10326,CONA,10326,
5863,BM0O1J3,"CONA 12 Way Double Door SP Neutral Distribution Board, Sheet Enclosure - 9951",CONA 12 Way Double Door Single Pole Neutral Distribution Board - 9951,CONA,9951,
5864,BM0O2Y1,CONA 16 Module Forest / Touch Wood Cover Plate - 11206,CONA 16 Module Forest/Touch Wood Cover Plate - 11206,CONA,11206,
5865,BM3R6A7,"CONA Metal Junction Box, 16 Module Box - 6646",CONA 16 Module Metal Junction Box - 6646,CONA,6646,
5866,BM0O2X1,CONA 16 Module Smile Snow White Cover Plate - 11201,CONA 16 Module Smile Snow White Cover Plate - 11201,CONA,11201,
5867,BM0O1J4,"CONA 16 Way Double Door SP Neutral Distribution Board, Sheet Enclosure - 9956",CONA 16 Way Double Door Single Pole Neutral Distribution Board - 9956,CONA,9956,
5868,BM0O2Y2,CONA 18 Module Forest / Touch Wood Cover Plate - 11196,CONA 18 Module Forest/Touch Wood Cover Plate - 11196,CONA,11196,
5869,BM3R6A8,"CONA Metal Junction Box, 18 Module Box - 6641",CONA 18 Module Metal Junction Box - 6641,CONA,6641,
5870,BM0O2X2,CONA 18 Module Smile Snow White Cover Plate - 11151,CONA 18 Module Smile Snow White Cover Plate - 11151,CONA,11151,
5871,BM0O2Z1,CONA 18 Module Snow White Solo Cover Plate - 10331,CONA 18 Module Snow White Solo Cover Plate - 10331,CONA,10331,
5872,BM0O3H2,CONA Universal Socket 6/16A  - 12101,"CONA 2 in 1 Series Universal Socket, Current 6/16A - 12101",CONA,12101,
5873,BM0O2X4,CONA 2 Module Forest / Touch Wood Cover Plate - 11161,CONA 2 Module Forest/Touch Wood Cover Plate - 11161,CONA,11161,
5874,BM0O2W4,CONA 2 Module Smile Snow White Cover Plate - 11116,CONA 2 Module Smile Snow White Cover Plate - 11116,CONA,11116,
5875,BM0O2Y4,CONA 2 Module Snow White Solo Cover Plate - 10296,CONA 2 Module Snow White Solo Cover Plate - 10296,CONA,10296,
5876,BM0O3K0,CONA 2 Pin Male Female - 2036,CONA 2 Pin Male Female - 2036,CONA,2036,
5877,BM0O3G3,CONA 2 Pin Multi Socket 6A - 12486,"CONA 2 Pin Multi Socket, Current 6A - 12486",CONA,12486,
5878,BM0O3E6,CONA 2 Pin Multi Socket 6A - 9301,"CONA 2 Pin Multi Socket, Current 6A - 9301",CONA,9301,
5879,BM0O3J9,CONA 2 Pin Plug Top - 2031,CONA 2 Pin Plug Top - 2031,CONA,2031,
5880,BM0O2V6,"CONA 6/13A Rexx Converter 2 Pin to 3 Pin, Gold Series - 1776","CONA 2 to 3 Pin Rexx Converter, Current 6/13A - 1776",CONA,1776,
5881,BM0O2X5,CONA 3 Module Forest / Touch Wood Cover Plate - 11166,CONA 3 Module Forest/Touch Wood Cover Plate - 11166,CONA,11166,
5882,BM3R6A1,"CONA Metal Junction Box, 3 Module Box - 6606",CONA 3 Module Metal Junction Box - 6606,CONA,6606,
5883,BM0O2W5,CONA 3 Module Smile Snow White Cover Plate - 11121,CONA 3 Module Smile Snow White Cover Plate - 11121,CONA,11121,
5884,BM0O2Y5,CONA 3 Module Snow White Solo Cover Plate - 10301,CONA 3 Module Snow White Solo Cover Plate - 10301,CONA,10301,
5885,BM0O3G5,CONA 3 Pin Multi Socket 6A With Charger Pin & Shutter - 12496,"CONA 3 Pin Multi Socket With Charger Pin & Shutter, Current 6A - 12496",CONA,12496,
5886,BM0O3E7,CONA 3 Pin Multi Socket 6A With Charger Pin & Shutter - 9311,"CONA 3 Pin Multi Socket With Charger Pin & Shutter, Current 6A - 9311",CONA,9311,
5887,BM0O3H1,CONA 3 Pin Socket 6A With Charger Pin - 12026,"CONA 3 Pin Socket With Charger Pin, Current 6A - 12026",CONA,12026,
5888,BM0O3E0,"CONA MCB 4 In 1, 6/16A, With Junction Box, 25A. SP MCB & Indicator - 2711","CONA 4 In 1 Miniature Circuit Breaker With Junction Box, Current 6/16A - 2711",CONA,2711,
5889,BM0O3E5,CONA MCB 4 In 1 Socket Combine - 2711,"CONA 4 In 1 Miniature Circuit Breaker With Junction Box, Current 6/16A - 2711",CONA,2711,TRUE
5890,BM0O2X6,CONA 4 Module Forest / Touch Wood Cover Plate - 11171,CONA 4 Module Forest/Touch Wood Cover Plate - 11171,CONA,11171,
5891,BM3R6A2,"CONA Metal Junction Box, 4 Module Box - 6611",CONA 4 Module Metal Junction Box - 6611,CONA,6611,
5892,BM0O2W6,CONA 4 Module Smile Snow White Cover Plate - 11126,CONA 4 Module Smile Snow White Cover Plate - 11126,CONA,11126,
5893,BM0O2Y6,CONA 4 Module Snow White Solo Cover Plate - 10306,CONA 4 Module Snow White Solo Cover Plate - 10306,CONA,10306,
5894,BM0O1I9,"CONA 4 Way Double Door SP Neutral Distribution Board, Sheet Enclosure - 9931",CONA 4 Way Double Door Single Pole Neutral Distribution Board - 9931,CONA,9931,
5895,BM0O2X7,CONA 6 Module Forest / Touch Wood Cover Plate - 11176,CONA 6 Module Forest/Touch Wood Cover Plate - 11176,CONA,11176,
5896,BM3R6A3,"CONA Metal Junction Box, 6 Module Box - 6621",CONA 6 Module Metal Junction Box - 6621,CONA,6621,
5897,BM0O2W7,CONA 6 Module Smile Snow White Cover Plate - 11131,CONA 6 Module Smile Snow White Cover Plate - 11131,CONA,11131,
5898,BM0O2Y7,CONA 6 Module Snow White Solo Cover Plate - 10311,CONA 6 Module Snow White Solo Cover Plate - 10311,CONA,10311,
5899,BM0O1J0,"CONA 6 Way Double Door SP Neutral Distribution Board, Sheet Enclosure - 9936",CONA 6 Way Double Door Single Pole Neutral Distribution Board - 9936,CONA,9936,
5900,BM0O2X8,CONA 8 Module Hz. Forest / Touch Wood Cover Plate - 11181,CONA 8 Module Horizontal Forest/Touch Wood Cover Plate - 11181,CONA,11181,
5901,BM3R6A5,"CONA Metal Junction Box, 8 Module Horizontal Box - 6631",CONA 8 Module Horizontal Metal Junction Box - 6631,CONA,6631,
5902,BM0O2Y8,CONA 8 Module Hz. Snow White Solo Cover Plate - 10316,CONA 8 Module Horizontal Snow White Solo Cover Plate - 10316,CONA,10316,
5903,BM0O2W8,CONA 8 Module Smile Hz. Snow White Cover Plate - 11136,CONA 8 Module Smile Horizontal Snow White Cover Plate - 11136,CONA,11136,
5904,BM0O2W9,CONA 8 Module Smile Sq. Snow White Cover Plate - 11141,CONA 8 Module Smile Square Snow White Cover Plate - 11141,CONA,11141,
5905,BM0O2X9,CONA 8 Module Sq. Forest / Touch Wood Cover Plate - 11186,CONA 8 Module Square Forest/Touch Wood Cover Plate - 11186,CONA,11186,
5906,BM3R6A4,"CONA Metal Junction Box, 8 Module Square Box - 6626",CONA 8 Module Square Metal Junction Box - 6626,CONA,6626,
5907,BM0O2Y9,CONA 8 Module Sq. Snow White Solo Cover Plate - 10321,CONA 8 Module Square Snow White Solo Cover Plate - 10321,CONA,10321,
5908,BM0O1J1,"CONA 8 Way Double Door SP Neutral Distribution Board, Sheet Enclosure - 9941",CONA 8 Way Double Door Single Pole Neutral Distribution Board - 9941,CONA,9941,
5909,BM0O3X3,"CONA Action Buzzer, Musical Chimes & Buzzers - 2966",CONA Action Buzzer Musical Chime & Buzzer - 2966,CONA,2966,
5910,BM0O3T5,"CONA Street Light, CFL 1 X 26W, Gold Series - 11516",CONA Allied 1 X 26W CFL Street Light - 11516,CONA,11516,
5911,BM0O3U0,"CONA Street Light, 1 X 36/40W, Gold Series - 4761",CONA Allied 1 X 36/40W Street Light - 4761,CONA,4761,
5912,BM0O3T6,"CONA Street Light, CFL 1 X 36W, Gold Series - 11496",CONA Allied 1 X 36W CFL Street Light - 11496,CONA,11496,
5913,BM0O3T8,"CONA Street Light, CFL 1 X 45W, Gold Series - 11511",CONA Allied 1 X 45W CFL Street Light - 11511,CONA,11511,
5914,BM0O3T9,"CONA Street Light, CFL 1 X 48W, Gold Series - 11506",CONA Allied 1 X 48W CFL Street Light - 11506,CONA,11506,
5915,BM0O3T7,"CONA Street Light, CFL 2 X 36W, Gold Series - 11501",CONA Allied 2 X 36W CFL Street Light - 11501,CONA,11501,
5916,BM0O3L2,"CONA 16A Changeover SP Switch Gear, Gold Series - 3311","CONA Allied Changeover SP Switch Gear, Current 16A - 3311",CONA,3311,
5917,BM0O3Q6,"CONA Deluxe Rotor Holder, Allied - 3176",CONA Allied Deluxe Rotor Holder - 3176,CONA,3176,
5918,BM0O3Q7,"CONA Deluxe Rotor Holder, Allied - 3186",CONA Allied Deluxe Rotor Holder - 3186,CONA,3186,
5919,BM0O3Q5,"CONA Deluxe Starter Seat, Allied - 3171",CONA Allied Deluxe Starter Seat - 3171,CONA,3171,
5920,BM0O3P6,"CONA Gold Starter With Strip Packing, Gold Series - 3271",CONA Allied Gold Starter With Strip Packing - 3271,CONA,3271,
5921,BM0O3Y3,"CONA Great Safety Line Tester, Gold Series - 1906",CONA Allied Great Line Tester - 1906,CONA,1906,
5922,BM0O3K2,CONA Nice Iron Connector With Indicator - 2096,CONA Allied Nice Iron Connector With Indicator - 2096,CONA,2096,
5923,BM0O3S7,"CONA NICE 2 Feet Patti With Polyester, 20W Choke, Gold Series - 7876","CONA Allied Nice Polyester Choke Complete Patti, Choke Power 20W, Length 2 Ft - 7876",CONA,7876,
5924,BM0O3S6,"CONA NICE 4 Feet Patti With Polyester, 40W Choke, Gold Series - 4456","CONA Allied Nice Polyester Choke Complete Patti, Choke Power 40W, Length 4 Ft - 4456",CONA,4456,
5925,BM0O3P7,"CONA NICE Starter With Capacitor, Gold Series, 50 Hz - 3151","CONA Allied NICE Starter With Capacitor, Frequency 50 Hz - 3151",CONA,3151,
5926,BM0O3S9,"CONA NOVA 2 Feet Patti With 20W Ballast, Gold Series - 4616","CONA Allied Nova Ballast Patti, Power 20W, Length 2 Ft - 4616",CONA,4616,
5927,BM0O3S8,"CONA NOVA 4 Feet Patti With 40W Ballast, Gold Series - 4611","CONA Allied Nova Ballast Patti, Power 40W, Length 4 Ft - 4611",CONA,4611,
5928,BM0O3P5,"CONA NOVA Electronic Ballast 40W, Gold Series - 4601","CONA Allied NOVA Electronic Ballast, Power 40W - 4601",CONA,4601,
5929,BM0O2G5,"CONA Porcelain Kit Kat Fuse, 100/415V - 1941","CONA Allied Porcelain Kit Kat Fuse, Voltage 100/415V - 1941",CONA,1941,
5930,BM0O2G1,"CONA Porcelain Kit Kat Fuse, 16/240V - 1911","CONA Allied Porcelain Kit Kat Fuse, Voltage 16/240V - 1911",CONA,1911,
5931,BM0O2G2,"CONA Porcelain Kit Kat Fuse, 16/415V - 1916","CONA Allied Porcelain Kit Kat Fuse, Voltage 16/415V - 1916",CONA,1916,
5932,BM0O2G3,"CONA Porcelain Kit Kat Fuse, 32/415V - 1926","CONA Allied Porcelain Kit Kat Fuse, Voltage 32/415V - 1926",CONA,1926,
5933,BM0O2G4,"CONA Porcelain Kit Kat Fuse, 63/415V - 1936","CONA Allied Porcelain Kit Kat Fuse, Voltage 63/415V - 1936",CONA,1936,
5934,BM0O1H9,"CONA PVC Insulation Tape, Gold Series, Length 9 mtr - 4131","CONA Allied PVC Insulation Tape, Length 8 Mtr, Width 18 mm - 4131",CONA,4131,
5935,BM0O3K8,"CONA 16A Reverse Forward SP Switch Gear, Gold Series - 3306","CONA Allied Reverse Forward SP Switch Gear, Current 16A - 3306",CONA,3306,
5936,BM0O3Y6,"CONA Sharp Double Light Safety Line Tester, Gold Series - 2046",CONA Allied Sharp Double Light Line Tester - 2046,CONA,2046,
5937,BM0O3Y5,"CONA Sharp Single Light Safety Line Tester, Gold Series - 2041",CONA Allied Sharp Single Light Line Tester - 2041,CONA,2041,
5938,BM0O2I5,"CONA Surface Medium Step Type Regulator, Gold Series - 3061",CONA Allied Surface Medium Step Type Regulator - 3061,CONA,3061,
5939,BM0O3K6,"CONA 32A 415V T.P.N  Switch Gear, Gold Series - 2421","CONA Allied T.P.N Switch Gear, Current 32A, Voltage 415V - 2421",CONA,2421,
5940,BM0O3M7,"CONA Wireless Video Security Phone, Gold Series - 5671",CONA Allied Wireless Video Security Phone - 5671,CONA,5671,
5941,BM0O3M8,"CONA Wireless Video Security Phone, Gold Series - 5676",CONA Allied Wireless Video Security Phone - 5676,CONA,5676,
5942,BM0O2B4,"CONA Apex 4 X 2, Power Strip 1.5 m, Spike Suppressor, Gold Series - 4321","CONA Apex 4 X 2 Power Strip Spike Suppressor, Cable Length 1.5 Mtr - 4321",CONA,4321,
5943,BM0O1Q2,"CONA 63A TP Miniatur Circuit Breaker, B Type - 3681","CONA B Curve 3 Pole Miniature Circuit Breaker, Current 63A - 3681",CONA,3681,
5944,BM0O1R8,"CONA 63A FP Miniatur Circuit Breaker, B Type - 3691","CONA B Curve 4 Pole Miniature Circuit Breaker, Current 63A - 3691",CONA,3691,
5945,BM0O1P4,"CONA 63A DP Miniatur Circuit Breaker, B Type - 3676","CONA B Curve Double Pole Miniature Circuit Breaker, Current 63A - 3676",CONA,3676,
5946,BM0O1N8,"CONA 63A SP Miniatur Circuit Breaker, B Type - 3666","CONA B Curve Single Pole Miniature Circuit Breaker, Current 63A - 3666",CONA,3666,
5947,BM0O3S2,CONA BC Parallel Holder - 2296,CONA BC Parallel Holder - 2296,CONA,2296,
5948,BM0O3W8,"CONA Bird Tune, Musical Chimes & Buzzers - 2946",CONA Bird Tune Musical Chime & Buzzer - 2946,CONA,2946,
5949,BM0O1T7,"CONA 0.5 To 5A DP Miniatur Circuit Creaker, C Type - 3706","CONA C Type Double Pole Miniature Circuit Breaker, Current 0.5 To 5A - 3706",CONA,3706,
5950,BM0O1T9,"CONA 10A DP Miniatur Circuit Creaker, C Type - 3796","CONA C Type Double Pole Miniature Circuit Breaker, Current 10A - 3796",CONA,3796,
5951,BM0O1U0,"CONA 16A DP Miniatur Circuit Creaker, C Type - 3826","CONA C Type Double Pole Miniature Circuit Breaker, Current 16A - 3826",CONA,3826,
5952,BM0O1U1,"CONA 20A DP Miniatur Circuit Creaker, C Type - 3856","CONA C Type Double Pole Miniature Circuit Breaker, Current 20A - 3856",CONA,3856,
5953,BM0O1U2,"CONA 25A DP Miniatur Circuit Creaker, C Type - 3886","CONA C Type Double Pole Miniature Circuit Breaker, Current 25A - 3886",CONA,3886,
5954,BM0O1U3,"CONA 32A DP Miniatur Circuit Creaker, C Type - 3916","CONA C Type Double Pole Miniature Circuit Breaker, Current 32A - 3916",CONA,3916,
5955,BM0O1U4,"CONA 40A DP Miniatur Circuit Creaker, C Type - 3946","CONA C Type Double Pole Miniature Circuit Breaker, Current 40A - 3946",CONA,3946,
5956,BM0O1U5,"CONA 63A DP Miniatur Circuit Creaker, C Type - 3976","CONA C Type Double Pole Miniature Circuit Breaker, Current 63A - 3976",CONA,3976,
5957,BM0O1T8,"CONA 6A DP Miniatur Circuit Creaker, C Type - 3736","CONA C Type Double Pole Miniature Circuit Breaker, Current 6A - 3736",CONA,3736,
5958,BM0O1W4,"CONA 0.5 To 5A FP Miniatur Circuit Creaker, C Type - 3721","CONA C Type Four Pole Four Pole Miniature Circuit Breaker, Current 0.5 to 5A - 3721",CONA,3721,
5959,BM0O1W7,"CONA 16A FP Miniatur Circuit Creaker, C Type - 3841","CONA C Type Four Pole Four Pole Miniature Circuit Breaker, Current 16A - 3841",CONA,3841,
5960,BM0O1W6,"CONA 10A FP Miniatur Circuit Creaker, C Type - 3811","CONA C Type Four Pole Miniature Circuit Breaker, Current 10A - 3811",CONA,3811,
5961,BM0O1W8,"CONA 20A FP Miniatur Circuit Creaker, C Type - 3871","CONA C Type Four Pole Miniature Circuit Breaker, Current 20A - 3871",CONA,3871,
5962,BM0O1W9,"CONA 25A FP Miniatur Circuit Creaker, C Type - 3901","CONA C Type Four Pole Miniature Circuit Breaker, Current 25A - 3901",CONA,3901,
5963,BM0O1X0,"CONA 32A FP Miniatur Circuit Creaker, C Type - 3931","CONA C Type Four Pole Miniature Circuit Breaker, Current 32A - 3931",CONA,3931,
5964,BM0O1X1,"CONA 40A FP Miniatur Circuit Creaker, C Type - 3961","CONA C Type Four Pole Miniature Circuit Breaker, Current 40A - 3961",CONA,3961,
5965,BM0O1X2,"CONA 63A FP Miniatur Circuit Creaker, C Type - 3991","CONA C Type Four Pole Miniature Circuit Breaker, Current 63A - 3991",CONA,3991,
5966,BM0O1W5,"CONA 6A FP Miniatur Circuit Creaker, C Type - 3751","CONA C Type Four Pole Miniature Circuit Breaker, Current 6A - 3751",CONA,3751,
5967,BM0O1V3,"CONA 40A TP Miniatur Circuit Creaker, C Type - 3951","CONA C Type Miniature Circuit Breaker, Current 40A - 3951",CONA,3951,
5968,BM0O1R9,"CONA 0.5 To 5A SP Miniatur Circuit Creaker, C Type - 3696","CONA C Type Single Pole Miniature Circuit Breaker, Current 0.5 To 5A - 3696",CONA,3696,
5969,BM0O1S1,"CONA 10A SP Miniatur Circuit Creaker, C Type - 3786","CONA C Type Single Pole Miniature Circuit Breaker, Current 10A - 3786",CONA,3786,
5970,BM0O1S2,"CONA 16A SP Miniatur Circuit Creaker, C Type - 3816","CONA C Type Single Pole Miniature Circuit Breaker, Current 16A - 3816",CONA,3816,
5971,BM0O1S3,"CONA 20A SP Miniatur Circuit Creaker, C Type - 3846","CONA C Type Single Pole Miniature Circuit Breaker, Current 20A - 3846",CONA,3846,
5972,BM0O1S4,"CONA 25A SP Miniatur Circuit Creaker, C Type - 3876","CONA C Type Single Pole Miniature Circuit Breaker, Current 25A - 3876",CONA,3876,
5973,BM0O1S5,"CONA 32A SP Miniatur Circuit Creaker, C Type - 3906","CONA C Type Single Pole Miniature Circuit Breaker, Current 32A - 3906",CONA,3906,
5974,BM0O1S6,"CONA 40A SP Miniatur Circuit Creaker, C Type - 3936","CONA C Type Single Pole Miniature Circuit Breaker, Current 40A - 3936",CONA,3936,
5975,BM0O1S7,"CONA 63A SP Miniatur Circuit Creaker, C Type - 3966","CONA C Type Single Pole Miniature Circuit Breaker, Current 63A - 3966",CONA,3966,
5976,BM0O1S0,"CONA 6A SP Miniatur Circuit Creaker, C Type - 3726","CONA C Type Single Pole Miniature Circuit Breaker, Current 6A - 3726",CONA,3726,
5977,BM0O1S8,"CONA 0.5 To 5A SPN Miniatur Circuit Creaker, C Type - 3701","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 0.5 To 5A - 3701",CONA,3701,
5978,BM0O1T0,"CONA 10A SPN Miniatur Circuit Creaker, C Type - 3791","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 10A - 3791",CONA,3791,
5979,BM0O1T1,"CONA 16A SPN Miniatur Circuit Creaker, C Type - 3821","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 16A - 3821",CONA,3821,
5980,BM0O1T2,"CONA 20A SPN Miniatur Circuit Creaker, C Type - 3851","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 20A - 3851",CONA,3851,
5981,BM0O1T3,"CONA 25A SPN Miniatur Circuit Creaker, C Type - 3881","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 25A - 3881",CONA,3881,
5982,BM0O1T4,"CONA 32A SPN Miniatur Circuit Creaker, C Type - 3911","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 32A - 3911",CONA,3911,
5983,BM0O1T5,"CONA 40A SPN Miniatur Circuit Creaker, C Type - 3941","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 40A - 3941",CONA,3941,
5984,BM0O1T6,"CONA 63A SPN Miniatur Circuit Creaker, C Type - 3971","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 63A - 3971",CONA,3971,
5985,BM0O1S9,"CONA 6A SPN Miniatur Circuit Creaker, C Type - 3731","CONA C Type Single Pole Neutral Miniature Circuit Breaker, Current 6A - 3731",CONA,3731,
5986,BM0O1X8,"CONA 10A SP Slim MCB, C Type - 4106","CONA C Type Single Pole Slim Miniature Circuit Breaker, Current 10A - 4106",CONA,4106,
5987,BM0O1X9,"CONA 16A SP Slim MCB, C Type - 4111","CONA C Type Single Pole Slim Miniature Circuit Breaker, Current 16A - 4111",CONA,4111,
5988,BM0O1Y0,"CONA 20A SP Slim MCB, C Type - 4116","CONA C Type Single Pole Slim Miniature Circuit Breaker, Current 20A - 4116",CONA,4116,
5989,BM0O1Y1,"CONA 25A SP Slim MCB, C Type - 4121","CONA C Type Single Pole Slim Miniature Circuit Breaker, Current 25A - 4121",CONA,4121,
5990,BM0O1Y2,"CONA 32A SP Slim MCB, C Type - 4126","CONA C Type Single Pole Slim Miniature Circuit Breaker, Current 32A - 4126",CONA,4126,
5991,BM0O1X7,"CONA 6A SP Slim MCB, C Type - 4096","CONA C Type Single Pole Slim Miniature Circuit Breaker, Current 6A - 4096",CONA,4096,
5992,BM0O1Y4,"CONA 10A DP Slim MCB, C Type - 9991","CONA C Type Slim Double Pole Miniature Circuit Breaker, Current 10A - 9991",CONA,9991,
5993,BM0O1Y5,"CONA 16A DP Slim MCB, C Type - 9996","CONA C Type Slim Double Pole Miniature Circuit Breaker, Current 16A - 9996",CONA,9996,
5994,BM0O1Y6,"CONA 20A DP Slim MCB, C Type - 10001","CONA C Type Slim Double Pole Miniature Circuit Breaker, Current 20A - 10001",CONA,10001,
5995,BM0O1Y7,"CONA 25A DP Slim MCB, C Type - 10006","CONA C Type Slim Double Pole Miniature Circuit Breaker, Current 25A - 10006",CONA,10006,
5996,BM0O1Y8,"CONA 32A DP Slim MCB, C Type - 10011","CONA C Type Slim Double Pole Miniature Circuit Breaker, Current 32A - 10011",CONA,10011,
5997,BM0O1Y3,"CONA 6A DP Slim MCB, C Type - 9981","CONA C Type Slim Double Pole Miniature Circuit Breaker, Current 6A - 9981",CONA,9981,
5998,BM0O1U9,"CONA 16A TP Miniatur Circuit Creaker, C Type - 3831","CONA C Type Three Pole Three Pole Miniature Circuit Breaker, Current 16A - 3831",CONA,3831,
5999,BM0O1V0,"CONA 20A TP Miniatur Circuit Creaker, C Type - 3861","CONA C Type Three Pole Three Pole Miniature Circuit Breaker, Current 20A - 3861",CONA,3861,
6000,BM0O1V4,"CONA 63A TP Miniatur Circuit Creaker, C Type - 3981","CONA C Type Three Pole Three Pole Miniature Circuit Breaker, Current 63A - 3981",CONA,3981,
6001,BM0O1U7,"CONA 6A TP Miniatur Circuit Creaker, C Type - 3741","CONA C Type Three Pole Three Pole Miniature Circuit Breaker, Current 6A - 3741",CONA,3741,
6002,BM0O1U6,"CONA 0.5 To 5A TP Miniatur Circuit Creaker, C Type - 3711","CONA C Type Three Pole Miniature Circuit Breaker, Current 0.5 To 5A - 3711",CONA,3711,
6003,BM0O1U8,"CONA 10A TP Miniatur Circuit Creaker, C Type - 3801","CONA C Type Three Pole Miniature Circuit Breaker, Current 10A - 3801",CONA,3801,
6004,BM0O1V1,"CONA 25A TP Miniatur Circuit Creaker, C Type - 3891","CONA C Type Three Pole Miniature Circuit Breaker, Current 25A - 3891",CONA,3891,
6005,BM0O1V2,"CONA 32A TP Miniatur Circuit Creaker, C Type - 3921","CONA C Type Three Pole Miniature Circuit Breaker, Current 32A - 3921",CONA,3921,
6006,BM0O1V5,"CONA 0.5 To 5A TPN Miniatur Circuit Creaker, C Type - 3716","CONA C Type Three Pole Neutral Miniature Circuit Breaker, Current 0.5 To 5A - 3716",CONA,3716,
