ItemNo,ItemDescription,Service_or_Material,TCS
BM9J3H0,Designing Of EL Books,Service,No
BM9J6O2,Designing Of GBY Cards,Service,No
BM9F6J0,Designing PHC Brochure,Service,No
BM9U5W0,Designing SKP Brochure,Service,No
BM9X1F7,DESOUTTER Torque Verification Charges,Service,No
BM9R1M9,Development of an area in between ETP-STP shed and Fire tank as Rose garden.,Service,No
BM9P5S6,Development of an area of South West corner besides ETP-STP plant.,Service,No
BM9U3S2,Device Management FAMS Software License (for 15 devices),Service,No
BM9S8H2,Dew Point Temp. Sensor with Transmitter-BM9S8H2,Service,No
BM9Y9U6,"Diamond Core cutting of concrete with surface treatment, compression testing 75 / 100 mm Dia",Service,No
BM9S7O4,"Die Cut Roller, Damage Correction",Service,No
BM9U9V3,"Die Cut Roller, Shaft Change with Gear",Service,No
BM9P1L3,Diesel Charges ( 718.8ltr X65 per ltr)-BM9P1L3,Service,No
BM9T9Y3,Diesel rate (676.8 Ltr X 69.44 per ltr),Service,No
BM9Z8B9,Diesel Rate (6934Km = 693.4 ltr = 69.40 per ltr),Service,No
BM9R7B6,"Diesel rate (7946km, 801.5 ltrX 70.56 per ltr)",Service,No
BM9R3R9,Diesel Rate = 6905km = 6905/10 = 690.5Ltr x 75.49 per Ltr,Service,No
BM9V7E5,Diesel rate 794.6 ltr X 68.43 per ltr,Service,No
BM9P4A2,Diesel Rate=7098km=7098/10=709.8LtrX66.04 per ltr-BM9P4A2,Service,No
BM9V7E3,Differential Pressure Transmitter Calibration,Service,No
BM9S7B4,Differential Pressure Transmitter Calibration-BM9S7B4,Service,No
BM9Z9X9,Digital Campaign for Schwarzkopf Professional Vario Lights,Service,No
BM9R7T2,Digital Clamp Meter Calibration-BM9R7T2,Service,No
BM9R5N9,Digital Clamp Tester Calibration charges,Service,No
BM9P4U4,Digital Flowmeter with Display-BM9P4U4,Service,No
BM9K6G5,Digital Marketing Masterclass with Salon Partners,Service,No
BM9K7R1,Digital Multimeter - BM9K7R1,Service,No
BM9Z1Y5,Digital Oscilloscope Make:Yokogawa-BM9Z1Y5,Service,No
BM9I1O5,Digital UV Intensity Meter,Service,No
BM9T2E7,Digital Videography & Mic at Kaya Ltd India Malad,Service,No
BM9M6Q0,"DIN EN 23270:1991 : Test Method for Paints, Varnishes and their raw materials; Temperatures and Humi",Service,No
BM9P4Y1,"DIN EN ISO 11997-1:2018 : Test Method for Paints & Vernishes, Determination of resistance to cyclic",Service,No
BM9Y4T3,DIN EN ISO 1523:2002 : Test Method for Determination of Flash Point - Closed cup equilibrium method,Service,No
BM9U1O4,"DIN EN ISO 17872:2019 : Test Method for Paints & Varnishes, Guidelines for the introduction of scrib",Service,No
BM9F8Z8X,"DIN EN ISO 20567-1:2017 : STANDARD Test Method for paints & Varnishes, Determination of stone-chip r",Service,No
BM9Z0X8,"DIN EN ISO 2409:2013 : STANDARD Test Method for Paints & Varnishes, Cross-cut test (ISO 2409:2013)",Service,No
BM9D1N0K,"DIN EN ISO 4628-8:2013: STANDARD Test Method for Paints and Varnishes, Evaluation of degradation of",Service,No
BM9V6I4,"Disassembling, Repairing & Assembly of Motor & Pump Case",Service,No
BM9X6C9,"Dismant. of Old Pipe 2 1/2"" NB G.I. (340M)",Service,No
BM9V6T1,Dismantling of existing Portion.0,Service,No
BM9I1A3,Dismantling of Henkel Assets at Tarapur TSL,Service,No
BM9O2F9,"Dismantling, Assembly and Testing Charges for 3MTLV-100 Blower",Service,No
BM9R7W0,"Dismantling, Cleaning & Reinstallation Of Cleaned PVC Fills",Service,No
BM9O2I4,DL125 Pump Service Fitting,Service,No
BM00011,DNVs cost to perform scope of services as identified in attached DNV Certification Agreement - BM000,Service,No
BM9E9Q3,DNVs cost to perform scope of services as identified in attached DNV Certification Agreement plus tr,Service,No
BM9Y3V2G,Doctor Consultation,Service,No
BM9E4S5,DOCUMENTATION - BM9E4S5,Service,No
BM80014,Documentation Charges,Service,No
BM9W1O3,Documents and Report,Service,No
BM9O3R5,"DOMINO On-SIRE support on -Demand, Service Only, 1 visit",Service,No
BM9P8P4,DP Gauge,Service,No
BM9U9T7,DP Gauge-BM9U9T7,Service,No
BM9V7E1,DPT NDT LV-II Training,Service,No
BM9F9D2,Dressing of Ground (4070),Service,No
BM9N5A6,Drilling holes in Blender channel base Hole Size 23 mm as per drawing at BORL Site At Vadinar - Guja,Service,No
BM9R8L0,"Drilling Work, Size 12 X 100 mm",Service,No
BM9A0P0,Dry Film Thickness,Service,No
BM9C5U2,Dry HV Test at 110 kVrms,Service,No
BM9V9F8,Dusted Rouge DSP AD Femina Salon & Spa,Service,No
BM9J8J0,Dusted Rouge HT Brunch,Service,No
BM9N9H4,Dynamic balancing of Rotor shaft as per G.2.5-BM9N9H4,Service,No
BM9Y4P1,Dzire rent on date 25-07-2018,Service,No
BM9I8D0,Earth Resistance Test,Service,No
BM9S0N9,"Earthing Work with Lighting Arrester, Cable & Earth Pit",Service,No
BM9Y2N4,Earthling With Aviation Lamp Installation,Service,No
BM9W8M1,Easy DMS Installation Plus Implementation & One Time Setup Cost for POC,Service,No
BM9V7H0,Easy DMS to SFDC (Customer Master/Sale Invoice Register),Service,No
BM9A2C2,ECD Trial with Fixture 01 to Deburr Number of 20 Bores with Different Parameters,Service,No
BM9R3W0,Editing cost for 8 Photos,Service,No
BM9P9P9,Edward Maintainance & repair Services,Service,No
BM9N0W5,EDWARD Programming Of Est 3 Panel,Service,No
BM9B3T4F,"Electrical & Sensor Cable with Float,PVC Pipe for Cable Lying",Service,No
BM9V9C9,Electrical Requirement.0,Service,No
BM9T6Y9,"Electrical Works of the Lab replacing Switch boards with Modular Switches, 2ft X 2ft 36w LED Light",Service,No
BM9H8O7,Electrical Works of the Lab including Replacing all Switchboards,Service,No
BM9R9S1,ELECTROMAGNETIC FLOWMETER,Service,No
BM9P3H8,"Elemental analysis (Lead, Mercury,Cadmium ,Chromium VI,Formaldehyde,Od-BM9P3H8",Service,No
BM9S7F5,Elite Room Rent Per Day,Service,No
BM9U4M8,"Elly ,optd Hydraulic Goods lift -2 T Maintenance & repairing",Service,No
BM9O8V5,EMC Testing Services - IEC 61000-4-2,Service,No
BM9M2O0,Emergency Response & Care Training Program up to 30 Participants,Service,No
BM9R3C4,Employee shift vehicle service,Service,No
BM9Q9N5,Employee shift vehicle service..,Service,No
BM9R4C2,Employee shift Vehicle service...,Service,No
BM9T2Q1,Employee shift Vehicle service-BM9T2Q1,Service,No
BM9X7U6,Employee shift Vehicle service-BM9X7U6,Service,No
BM9Z9L5T,"End Termination of 3 Core Copper Armoured Cables, Cable Size 4 Sq. mm",Service,No
BM9W9G7,Engineer Visit Charges,Service,No
BM9Z2U8,Engineering Design consultancy Services,Service,No
BM9M4Y5,ENGINEERING SERVICES COST (DESIGN / ASSEMBLY / INTEGRATION / TESTING),Service,No
BM00033,ENGINEERING SERVICES COST (DESIGN / ASSEMBLY / INTEGRATION / TESTING) � service,Service,No
BM9M9L2,ENGINEERING SERVICES COST (DESIGN / ASSEMBLY / INTEGRATION / TESTING) -BM9M9L2,Service,No
BM9M0K5,EPCG Authrorised Upto Closer - Issuance of Authourisation for Duty Free Capital Goods Upto Closer Ac,Service,No
BM9H9D0,Epoxy Floor Work 4 mm,Service,No
BM9I0M3,Epoxy Painting of Platform and Sreps,Service,No
BM9D6S1,Equipment Erection & Shifting,Service,No
BM9X2U9,Equipment Rent Charges as Per Sheet Months,Service,No
BM9V3X1,Erect & Instal of All Type of Valves (6595),Service,No
BM9T1Y8N,Erection Charges for 250A Rated Construction PDB,Service,No
BM9Z0I3D,ESP Inspection or Analysis Testing Of Solid Core Insulator,Service,No
BM9V6I3C,Essential Hair Care Services,Service,No
BM9L6Z0,Essential Hair Care Services - Technical Guide,Service,No
BM9E0S7B,Essentials of Machinery Lubrication (09th to 11th Dec-2019 Delhi),Service,No
BM9J0N3,ETP PPR Pipeline Fabrication & Fixing Work,Service,No
BM9W2P7,ETP- STP shed.,Service,No
BM9I4P4,Evaporator Cell Repairing,Service,No
BM9Y1H4,Evening High Tea,Service,No
BM9Y9U8,Event Management,Service,No
BM9R1N5,EVOLIS Upgrade from Cardpresso XXS to XS Edition,Service,No
BM9K5R6,E-Waste of Electronic Eqiupment,Service,No
BM9T7Z4,Excavation (3943),Service,No
BM9Q9K2,Excavation (4004),Service,No
BM9Y9Y5,Excavation (4070),Service,No
BM9X0R3,Excavation (6350),Service,No
BM9R5X6,"Existing Pit Fill Up Work, Size 15 X 8 X 8 Feet",Service,No
BM9X7J5,Expenditure Charges Towards Drawing Approval from CEIG Office,Service,No
BM9E5O1,Expenditure Charges Towards Obtaining Safety Certificate From CEIG office,Service,No
BM9A1I3,"Expenditure Charges Towards Preparation Of 5 sets (Applications, Other Documents & MOA Submitted to",Service,No
BM9S4E6,Expenditure Charges Towards Submission of Completion Report CEIG Office & Arranging Inspection,Service,No
BM9B8I4,Expenses Releated to PR Services Incurred on Your Behalf.,Service,No
BM9I4L0Y,Experiment on Aerogels Using Supercritical CO2 Facility,Service,No
BM9W3B5,Experiments On Aerogels Using Supercritical CO2 Family,Service,No
BM9N9K3,Expert Engineers Visit Service Charges-BM9N9K3,Service,No
BM9H0R5Z,Extended Care CAMC 24 Month Post Standard Warranty,Service,No
BM9O9W8,Extra Hours,Service,No
BM9J5T6Y,Extra Time Charges after Working Hours,Service,No
BM9Z2W0,Extractable Matter (% by mass) � by Soxhlet Extractor,Service,No
BM9E9C0,"Fab Erect of 1""NB Instrument Pipe (30jts)",Service,No
BM9W2X4,"Fab, Erect, Lay & Weld with Argon Root (6595)",Service,No
BM9S4K8,Fab. & Weld of Miter Bend (6595),Service,No
BM9R2E9,"Fab. Eract of 8""NB Radar Pipe (276m)",Service,No
BM9W7E2R,Fab. Erect & Weld for Structural Steel (6595),Service,No
BM9J8W1,"Fab. Erect of 3""NB TT Pipe (204m)",Service,No
BM9O7Z7R,"Fab. Erect of 4""NB Diffuser Pipe (210Jts)",Service,No
BM9V3Z7,"Fab. Erect of 4""NB SS Pipe Jts (8jts)",Service,No
BM9H4J0,"Fab. Erect of 6""NB Dip Hatch Pipe (204m)",Service,No
BM9V6C6,"Fab. Erect of 8""NB Diffuser Pipe (90jts)",Service,No
BM9V9F0B,"Fab. Erect of 8""NB SS Pipe Jts (8jts)",Service,No
BM9M0F2,"Fab. of 2 1/2"" NB GI Pipe (340m)",Service,No
BM9I5V7,Fab. of Structural Steel,Service,No
BM9E7H0,Facility Management Services,Service,No
BM9P7S7,Facility Usage Charges,Service,No
BM9O5H9X,Feasibility Analysis,Service,No
BM9H4B1,"Feb of 4"" NB CS Joints (25Nos)",Service,No
BM9R3A1,"Feb. of 1/2"" Coupling (140Nos)",Service,No
BM9C0V0,Fee for Show in China,Service,No
BM9R4H4,Fees Towards Digital Branding Association with Schwarzkopf Professional,Service,No
BM9P9C4,Femina Flaunt Women's Day,Service,No
BM9Q6Q3,"FG Warehouse Shutter & Railing Painting-2 Coat of Colour, Shutter Colour Code Grey Metallic, Railing",Service,No
BM9I8E1,Fibre Ad,Service,No
BM9I0Z1,Fibreclinix ECL Frist Cut,Service,No
BM9R5Q6,Fibreclinix Service Menu First Cut,Service,No
BM9O7E4,"Fiel and Insulation Varnish, Bactrol",Service,No
BM9Z7F0,Field Service Engineer Charge on Sat/Sun,Service,No
BM9W6W2,Field Service Engineer Charge on Weekday,Service,No
BM9Q1B7,Fill 120ml Trimethylaluminum into 200ml ampoule800ml Trimethylaluminum into 1000ml ampoule,Service,No
BM9A3T2N,Filler Content (% by mass),Service,No
BM9V0O0,Filling (3943),Service,No
BM9Q6W3V,Filling (7121),Service,No
BM9M0H2,Filling GSB (4070),Service,No
BM9S4B2,FILLING MACHINE SLEEV FIXING,Service,No
BM9W6J2,Filling Material Epoxy,Service,No
BM9Y4L8,Filling of Plot with GSB (4054),Service,No
BM9P9N4,Filling up the potholes and levelling of the passage(1200sq ft* 50rs=45,Service,No
BM9W8T1,Filtering your Transformer Oil Contained in your 500 KVA Transformer Oil,Service,No
BM9M5H1,Filtering your transformer oil contained in your 500 KVA transformeroil,Service,No
BM9E9W0,Final Fire NOC,Service,No
BM9A1Z2,Finish,Service,No
BM9Z1N9,"Finished Goods analysis include Description, Average Weight, Uniformity of Weight, Disintegration ti",Service,No
BM9U0H5,"Fire Alarm Panel 2 Zone, Hooter, Manual Call Point, Smoke Detector Installation",Service,No
BM9F0R8,"Fire Alarm Panel Loops Card, Motherboard Testing & Commissioning of Fire Alarm Panel Charges",Service,No
BM9R3X1,Fire Performance Test as per EN 45545 Class R1/R7,Service,No
BM9W7J2,Fire Safety Training Program upto 30 Participants,Service,No
BM9O5Y8,First Aid Training,Service,No
BM9X4S6,Fitting Charge,Service,No
BM9I3U5,Fitting Work Required and also Some Additional Work required to Fit all the Cages on the Instrument,Service,No
BM9I3O7,"Fixed Repair Price for ELS 30-300 A, Sr.:17F05979",Service,No
BM9L0A4,Fixing & Instal of U Clamps (6595),Service,No
BM9P5B4,Fixing of brush seal-service,Service,No
BM9Y9P3,Fixing Of Motor Cover Sleeve of Bearing No.6018 ZZ,Service,No
BM9V2V6,Fixing Pavar Block (4070),Service,No
BM9Z3P1,Fixing Paver Block (4070),Service,No
BM9Y0Q1Y,Flanges System Pipe Attachment Inside Tank,Service,No
BM9Z7K6,Flash Point,Service,No
BM9V0V8,Flash Point (0C) � Whether Flammable or not Flammable,Service,No
BM9U7V4,Flexibility & Adhesion,Service,No
BM9U5X3,Flipkart Account Management for BC Bonacure,Service,No
BM9Q9H5,Florian Hurel For Boss Blond,Service,No
BM9B9C8,Florian Hurel Webinar Invite,Service,No
BM9V4E7,Flow Gauge,Service,No
BM9U4B7,Flow Gauge-BM9U4B7,Service,No
BM9Q6J9,Flow meter with transmitter(0-7500 cub.m/hr)-BM9Q6J9,Service,No
BM9Q1F6,Flow meterRange: 6-600lpm-BM9Q1F6,Service,No
BM9B5Z2,"FLUKE Earth Ground Tester, Test voltage 3.7 kV - 1621",Service,No
BM9E7R8,FLUKE Insulation Resistance Tester - 1507,Service,No
BM9H2E0,FN 2A Lance Assembly Degree Machining and Bend Rimoing,Service,No
BM9R6Z2,FN2A Lance Assembly Degree Machining and Bend Removing,Service,No
BM9D0N7,Food & Beverage (Adult & Children) for 1 Day,Service,No
BM9R3D9,Food Charges,Service,No
BM9U3H5,Fooding charge,Service,No
BM9N7X1W,"For Adequate Alignment of Marking Reference On Pad, Pad Height To Extend In Downward Direction",Service,No
BM9S9J5,For Testing & Issue Acidity Test Report,Service,No
BM9H7G4,For Testing & Issue BDV Test Report,Service,No
BM9J9P0Q,For Testing LT ACB for Pry. Inj. Test,Service,No
BM9W4P5,For Testing of Auxiliary Relay,Service,No
BM9B0X2,For Testing of Earth Electrodes,Service,No
BM9I6R0,For Testing of Earth Fault Relay,Service,No
BM9O8A8,For Testing of Master Trip Relay,Service,No
BM9N5R9,For Testing of O/C & E/F Relay,Service,No
BM9O8D1,"Form ""A"" Submission at Fire Office",Service,No
BM9A5Z6,"Formaldehyde�concentration�by�HPLC,�Benzene�concentration�by�GC,�Toluene�concentration�by�GC,",Service,No
BM9Q1Q5,Fridge Repair charges,Service,No
BM9Y4I3,FTIR Analysis of Solvent base 2.00% Solids,Service,No
BM9Z6S3,Fumigation(IPPC Regulation) Methyl Bromide Cloropicrin Mixture @ 48 Gms/Cu.m of 20 Feet Container,Service,No
BM9A6B1,Fumigation(IPPC Regulation) Methyl Bromide Cloropicrin Mixture @ 48 Gms/Cu.m of 40 Feet Container,Service,No
BM9S8P7,Fumigation(IPPC Regulation) Methyl Bromide Cloropicrin Mixture @ 48 Gms/Cu.m of Boxes Upto 20 CBM,Service,No
BM9W4R9,Furniture Installation Charges,Service,No
BM9K8Q3,Gap Filling with Cushion Foam and ACP Sheet Fitting,Service,No
BM9X2N6,GAS PURITY METER,Service,No
BM9P8B5S,GAS R134A,Service,No
BM9U9S6,Gas Topup,Service,No
BM9X8W5,Gas Transmitter Range 0-100%-BM9X8W5,Service,No
BM9S9A9K,GBY DSP Ad,Service,No
BM9W4V4,GE Logo,Service,No
BM9P6Y7,Gel permeation chromatography using organic solventas mobile phase(THF OR Chloroform),Service,No
BM9R7I1,GIG Circuit project & Construction,Service,No
BM9W4U9P,GIG Circuit project & Construction.,Service,No
BM9J6N0,Glass Fixing Work,Service,No
BM9B1C1P,Glass Removing Work,Service,No
BM9X4H8,Gloss at 60�,Service,No
BM9W3S2,Goods Transport Service,Service,No
BM9K9Q0,Government Fees,Service,No
BM9D6G1V,Govt. Reverification & Stamping of Cadteronic Filling Machine,Service,No
BM9F8O2,GPC Analysis of THF or Chloroform Soluble,Service,No
BM9O8R3,Grinding of Knives,Service,No
BM9Q8Y3,Ground Digging for Pipe Lining,Service,No
BM9R3Z4,Group Counseling for TCMS Employees,Service,No
BM9I7N7,Grouting core pockets with Non Shrink Cementatious Grout 75 / 100 mm Dia,Service,No
BM9R9P7,GRT Calibration Services,Service,No
BM9I1U0,GW INSTEK Calibration For DC Electronic Load 30W/250W (PEL2030A x 4)With PEL 2000A,Service,No
BM9Z9Z0,GW INSTEK Calibration For DC Electronic Load 350W (PEL 2040A x 4)With PEL 2000A,Service,No
BM9S8F0,"Hair Extensions for Photoshoot with Schwarzkopf, May 5 & 6th, 2019, Mumbai",Service,No
BM9J7I1,Hair For mens XP Cover With Ananya Birla,Service,No
BM9U4S8,Hair station Photography,Service,No
BM9L7V1,Hair station Video,Service,No
BM9V0F4,"Halar Green Coating on M.S. Coupons, Dimension 6'' X 3'' X 2 mm",Service,No
BM9H2U8,Half cell potential test for Beams,Service,No
BM9E8S3,Half cell potential test for Columns,Service,No
BM9T4N5,Half cell potential test for Slabs,Service,No
BM9S7V6,Half Yearly maintenance and Servicing of DG Sets.-BM9S7V6,Service,No
BM9V3V2,Half Yearly maintenance and Servicing of Filtration Plant.,Service,No
BM9U2Z0,Half Yearly Maintenance and Servicing of Mobile Vacuum Cleaner,Service,No
BM9J4X6,Half Yearly Maintenance and Servicing of of Air Conditioner,Service,No
BM9W9C0,"Half Yearly Servicing of DG Set WSTF, INS Garuda",Service,No
BM9Y2L1,Hall Rent,Service,No
BM9S9X1,Hard Dry,Service,No
BM9N2M0,Hazardous Area Classification Study & Report Submission Including Site Assessment,Service,No
BM9E5R4,Hazards West ETP Tank Cleaning Services,Service,No
BM9R2V1,HAZOP Study,Service,No
BM9K9O9,"Headlining Roof Flammability (Annex C-Melt Behavior) (As Per Is 15061), Method Is 5016, Sample Item",Service,No
BM9T3Y1,"Headlining Roof Vertical Flamibility Test, Method IS 15061:2002, Sample Item Required 560 X 170 mm -",Service,No
BM9R1E3Z,Headspace GC analysis of Solvent base 2.00% Solids,Service,No
BM9H7J3,"Health Checkup Programme, Session & Health Register Form No. 7 (Fitness Certificate)",Service,No
BM9Y3P7,HENKEL Aquence KL 4662 for Testing,Service,No
BM9U6F0,HENKEL Aquence KL 472FF for Testing,Service,No
BM9Q8X5,HENKEL Aquence KL SR for Testing,Service,No
BM9C4L6N,HENKEL Aquence WL 8037 for Testing,Service,No
BM9P2W9,HHT Application cost per HHT-BM9P2W9,Service,No
BM9U3Z3,Hikvision 16 Channel Full HD DVR Kit with 6 CCTV Camera (White),Service,No
BM9C4Y9Q,Hilti Bolt Fixing,Service,No
BM9V7E8,"HITACHI 3 Star 2019 Model Split Air Conditioner with Supply & Installation, Capacity 2 Ton",Service,No
BM9Y6B5,"Hitachi Split Air conditioner, Capacity 1 Ton, 3 Star 2019 Model with Supply & Installation",Service,No
BM9T1R5,Hitpot Testing,Service,No
BM9R0P5,Hotel Charges,Service,No
BM9H9J1D,Hotel Stay,Service,No
BM9T4J7,HOTEL STAY & FOOD & LAUNDERY CHARGES FOR 2 ENGINEERS (5 DAYS ),Service,No
BM9R6S7,HOTEL STAY & FOOD CHARGES FOR 2 ENGINEERS (SITE GAIL FIROZABAD),Service,No
BM9E0U8,Hotel Stay & Food Charges For 2 Engineers From 06/12/2018 To 15/12/2018 - Site Gail Agra & Gail Firo,Service,No
BM9T4J3,HOTEL STAY & FOOD CHARGES FOR 2 ENGINEERS FROM 22/04/2018 TILL 25/04/2018,Service,No
BM9K0B1,Hotel Stay and Food,Service,No
BM9L7O1,Housekeeping Staff,Service,No
BM9S4G6,HP/LP Heaters Performance & RH Pressure drop in one unit of UKAI 210 MW TPS,Service,No
BM9X1U0,HPLC Testing of Solvent Base 2.00% Solids,Service,No
BM9R6J2,HT Termination,Service,No
BM1A4T2,HTC Multimeter HTC-830L,Service,No
BM9Q1W5,"hydraulic Oil Filtration, Capacity 200 Ltr",Service,No
BM9V6F4,"Hydraulic Tyre Mounted Telescopic Crane Libher LTM-1160, Cap 160 MT with 55 Mtr",Service,No
BM9E0L6,Hydrostatic Test In AccordanceWith API 598 - AVG-TWI-01,Service,No
BM9U3E8,Hydrotesting & Refilling of 4.5 Ltr. Oxygen Cylinder,Service,No
BM9V9M0,Hygiene First Salon Logo,Service,No
BM9W0U3,IBC Tank PP Threading Adopter,Service,No
BM9Y1Z0,ID Permission Charges,Service,No
BM9L3Q0,Illustration & Stock Images,Service,No
BM9Z8Y8,Image Editing,Service,No
BM9R3I2,Imaging and Cataloguing 63 Products,Service,No
BM9W0E2,"Impact Resistance Test, 100 cm with 2kg on Steel, Thick Cured Panel 0.5 mm",Service,No
BM9C5T7,Implementation Services By ARCON Professional Service Team,Service,No
BM9Q5H0,IMS Internal Auditors Training Program for ISO 14001:2015 And ISO 45001:2018,Service,No
BM9I0H0,"In Shop Branding at a Salon, Surat",Service,No
BM9S1P8,In Shop Branding at B Dashing,Service,No
BM9M0A8,In Shop Branding at Bangalore,Service,No
BM9L4Z0,"In Shop Branding at Beyou Saloon, Telangana",Service,No
BM9B4D0,"In Shop Branding at Cut Mate Siganahalli, Bangalore",Service,No
BM9I0H2,In Shop Branding at Dhams Hsr Layout,Service,No
BM9Y0Q7,"In Shop Branding at Femina Unisex Salon, Bilaspur",Service,No
BM9J0W7,In Shop Branding at Fit and Fair,Service,No
BM9Y6E8,"In Shop Branding at Florishhh, Balewadi",Service,No
BM9W9N7,"In Shop Branding at Florishhh, Wakad",Service,No
BM9O6U6,"In Shop Branding at Glam Cutz Studio, Ahmedabad",Service,No
BM9F8A4K,"In Shop Branding at Heads Town-Brunton Road, Bangalore",Service,No
BM9G3O7,In Shop Branding at MZ Mangesha'z,Service,No
BM9D2Y4S,"In Shop Branding at Naturals 7th Phase, Bangalore",Service,No
BM9J1D4U,"In Shop Branding at Naturals Marathalli, Bangalore",Service,No
BM9S4N3,"In Shop Branding at Naturals, Kannur Kerala",Service,No
BM9U6C5,In Shop Branding at Pixie,Service,No
BM9Z0L7,In Shop Branding at Professional Ladies Salon,Service,No
BM9S7T4,In Shop Branding at Rivaah,Service,No
BM9A6B6,In Shop Branding at RM,Service,No
BM9J6Z7,In Shop Branding at RT Nagar Naturals,Service,No
BM9E3F0,In Shop Branding at Sheilas Salon,Service,No
BM9Y4H2,In Shop Branding at Studio 11,Service,No
BM9D7O6,"In Shop Branding at Style On Salon, Raipur",Service,No
BM9B4E6A,In Shop Branding at Tiara,Service,No
BM9Y4O6,In Shop Branding at Toni & Guy,Service,No
BM9U7T4,In Shop Branding at Trend Setter,Service,No
BM9O3R2,In Shop Branding at Trends the Salon,Service,No
BM9Z0W7D,In Shop Branding at Vilz Hsr Layout,Service,No
BM9G5R6,In Shop Branding at VLCC,Service,No
BM9Y0W8,Individual Counseling for Employees,Service,No
BM9D2E0,"Industrial Finished Halar Black Conductive Coating On M.S. Coupons, Dimension 6'' X 3'' X 2 mm",Service,No
BM9S4Z6,Innova rent on date 28-07-2018,Service,No
BM9P2D8L,Insert Plate (6350),Service,No
BM9W6D8,"Inshop Branding at 10 Salons, Karnataka",Service,No
BM9C0H7,Inshop Branding at 13 Salons,Service,No
BM9S0R1,"Inshop Branding at 8 Salons, Bangalore",Service,No
BM9K0Y8T,"Inshop Branding at 9 Salons, Kerala",Service,No
BM9W2P3,Inshop Branding at Adhunik Salon,Service,No
BM9E8O1,"Inshop Branding at Black & White 1, Jamshedpur",Service,No
BM9I8M0,"Inshop Branding at Black & White 2, Jamshedpur",Service,No
BM9G8O0,Inshop Branding at DA Salon,Service,No
BM9F7J6,"Inshop Branding at Else Where, Bhatinda",Service,No
BM9O8W4,"Inshop Branding at Fashion Villa, Ludhiana",Service,No
BM9X0O4,"Inshop Branding at Femina Flaunt Salon, Khar",Service,No
BM9V4K6,"Inshop Branding at First Cut Salon, Manali",Service,No
BM9U7P5,Inshop Branding at Guru Ji Javed Hubib,Service,No
BM9I6Y0T,"Inshop Branding at Hair Dresser Family Salon, Ramgarh",Service,No
BM9E1Q0,"Inshop Branding at Head jone Salon, Ranchi",Service,No
BM9K5K0,"Inshop Branding at Heaven Unisex, Kullu",Service,No
BM9G2J0,"Inshop Branding at Ikonc Salon and Spa, Ramgarh",Service,No
BM9Q7U9,"Inshop Branding at Naomi Head Master, Panchkula",Service,No
BM9D2K5,Inshop Branding at Naseem Salon,Service,No
BM9Z1T4,"Inshop Branding at Newstyle Borsad, Borsad Anand",Service,No
BM9I7A7,"Inshop Branding at Newstyle Karamsad, Karamsad",Service,No
BM9I6Z1,"Inshop Branding at Pink Petals, Sanpada",Service,No
BM9A5X0,"Inshop Branding at Rootz Professional Salon, Jamshedpur",Service,No
BM9V0D0,"Inshop Branding at Style and Scissor, Ranchi",Service,No
BM9Y8X6A,"Inshop Branding at Trendz Hair Studio, Jamshedpur",Service,No
BM9G1A0,"Inshop Branding at Trendz Salon, Kolkata",Service,No
BM9W3H1,Inside Cleaning Work of Reactor (MV 205 & MV 2019),Service,No
BM9U6K9,Inspection & Service Charges for Rigaku X-Ray Diffractometer Model - Miniflex II,Service,No
BM9I1V7,Inspection and Crack Repair of Steel Belt,Service,No
BM9Y0M5,Inspection and Issue of Structural Stability Certificate in Prescribed Format,Service,No
BM9P0D0,Inspection Charges Of Suntest XLS+II Per Visit,Service,No
BM9H6Q0,Instagram Video for Schwarzkopf,Service,No
BM9K6Y3,Installation - BM9K6Y3-BM9K6Y3,Service,No
BM9L3Z1,Installation - BM9L3Z1,Service,No
BM00012,Installation & Commissioning - BM00012,Service,No
BM9H6M2,Installation & Commissioning - BM9H6M2,Service,No
BM9P0M1,Installation & Fitting Charge of Shutter Motor,Service,No
BM9O3P2,Installation & Training,Service,No
BM9M6I0,Installation And Comm. At ND# 01 Consisting Of Following Services,Service,No
BM9P5J5,Installation And Comm. At VD# 03 Consisting Of Following Services,Service,No
BM9T2M4,Installation And Comm. At VD# 05 Consisting Of Following Services,Service,No
BM9Z9V0,Installation And Commissioning (1 Technition & 1 Programer),Service,No
BM9H7L8,Installation and Commissioning of Mechanical Interlock,Service,No
BM9P1S2,INSTALLATION AND LABOUR CHARGES-BM9P1S2,Service,No
BM9F9O7,Installation charge,Service,No
BM9P5X1,Installation charge of Ace Mortal Seal,Service,No
BM9P5X3,Installation charge of Ace Panel Seal,Service,No
BM9P5W8,Installation charge of Valency 111,Service,No
BM9N2R5,Installation Charges,Service,No
BM1B0F3,Installation Charges - BM1B0F3-BM1B0F3,Service,No
BM9K7Q3,INSTALLATION CHARGES - BM9K7Q3-BM9K7Q3,Service,No
BM9Q4R6,Installation Charges IN THANE,Service,No
BM9K6M4,Installation Charges.,Service,No
BM9J9U4,Installation Conventional Hooter,Service,No
BM9B7J0,"Installation Cylinder, Capacity 100 Ltrs",Service,No
BM9W0I1,"Installation Cylinder, Capacity 34 Ltr",Service,No
BM9H4P0,"Installation Cylinder, Capacity 67.5 Ltr",Service,No
BM9O1I5,Installation Dischrge Pipe,Service,No
BM9E8L8Z,Installation for Cut Off Relays for swiching off AC units,Service,No
