#,Date,Vendor,Remarks,Due Date,Document Total in SC,Purchase Order Status,Document Status,Document Total,Canceled,Branch,Project,Project Code,BPL Name,Tax Amount (SC)
40212636,25-Feb-2019,ICon Analytical Equipment Pvt. Ltd.,Based On Sales Orders 10212136.,28-Feb-2019,188800,Material Readiness: Delayed,Open,188800,No,Maharashtra,31563,31563 - FW: [EXT] RE: Required quotation for SEM_Icon analy,0,28800
40212637,25-Feb-2019,Suzhou Chengli Electronic Material Co. Ltd.,Based On Sales Orders 10212152.,06-Apr-2019,23238.85,Material Readiness: Delayed,Closed,23238.85,Yes,Maharashtra,31794,31794 - Need Formal Quotation - VM Deployment BULK MRO,0,0
40212638,25-Feb-2019,Zaphael Technologies,Based On Sales Orders 10212152.,06-Apr-2019,10856,Supplier PI Pending Finance Approval,Closed,10856,No,Maharashtra,31794,31794 - Need Formal Quotation - VM Deployment BULK MRO,0,1656
40212639,25-Feb-2019,Shreenath Automations,Based On Sales Orders 10212133.,07-Mar-2019,6032.16,Supplier PI Pending Finance Approval,Closed,6032.16,No,Maharashtra,31617,31617 - Piramal Guage inquiry,0,920.16
40212640,25-Feb-2019,Divine Engineering,Based On Sales Orders 10212147.,01-Mar-2019,13900.4,Material Readiness: Delayed,Closed,13900.4,No,Maharashtra,32050,32050 - Gaskets and O-rings,0,2120.4
40212641,25-Feb-2019,Prabath Home Appliances,,25-Feb-2019,3475,Supplier PI / Invoice Awaited,Closed,3475,No,Maharashtra,28406,28406 - Fwd: Quote-Requirements for Utensil cleaner,0,0
40212642,25-Feb-2019,S Ramesh General Merchants,,25-Feb-2019,249,Supplier PI / Invoice Awaited,Closed,249,No,Maharashtra,28406,28406 - Fwd: Quote-Requirements for Utensil cleaner,0,0
40212643,25-Feb-2019,Asian Colour Centre,,25-Feb-2019,300,Supplier PI / Invoice Awaited,Closed,300,No,Maharashtra,28406,28406 - Fwd: Quote-Requirements for Utensil cleaner,0,0
40212644,25-Feb-2019,Trafigura India Pvt. Ltd.,Based On Sales Orders 10212162.,25-Feb-2019,620680,Supplier PI / Invoice Awaited,Open,620680,No,Maharashtra,32134,32134 - Bituman VG 30,0,94680
40212645,25-Feb-2019,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10212134.,15-Mar-2019,160574.4,Payment to Supplier Delayed,Closed,160574.4,No,Maharashtra,32028,32028 - New PO # 4591585632 for Blue Drum of Rajdeep,0,24494.4
40212646,25-Feb-2019,Divine Engineering,Based On Sales Orders 10212150.,07-Mar-2019,36462,Material Readiness: Delayed,Closed,36462,No,Maharashtra,30455,30455 - Fwd: Tube Fittings Needed,0,5562
40212647,25-Feb-2019,Alba Sales Corporation,Based On Sales Orders 10212141.,15-Mar-2019,6046.32,Supplier PI / Invoice Awaited,Closed,6046.32,No,Maharashtra,30754,30754 - Request for Quote for Supply of Emery Paper (02 Typ,0,922.32
40212648,25-Feb-2019,Gauges Bourdon (I) Pvt. Ltd.,Based On Sales Orders 10212004.,28-Feb-2019,2950,Payment to Supplier Delayed,Closed,2950,No,Maharashtra,31484,31484 - Battery & Tube Cap,0,450
40212649,25-Feb-2019,Sagar Office Automation,Based On Sales Orders 10212004.,28-Feb-2019,413,Material Readiness: Delayed,Closed,413,No,Maharashtra,31484,31484 - Battery & Tube Cap,0,63
40212650,26-Feb-2019,Mahavir Corporation,Based On Sales Orders 10212155.,04-Mar-2019,5640.4,Payment to Supplier Delayed,Closed,5640.4,No,Maharashtra,31800,31800 - Re:Request for quotation_119187316,0,860.4
40212651,26-Feb-2019,Quality Enterprises,Based On Sales Orders 10212159.,04-Mar-2019,17700,Supplier PI / Invoice Awaited,Closed,17700,No,Maharashtra,32091,32091 - RE: Action Required: New Request 3759 submitted,0,2700
40212652,26-Feb-2019,Rangoli Plastics Pvt. Ltd.,Based On Sales Orders 10212077.,28-Feb-2019,63720,Payment to Supplier Delayed,Closed,63720,No,Maharashtra,31726,31726 - New Po # 4591578945 for Carboy of Rangoli,0,9720
40212653,29-Jan-2019,Shree Samarth Enterprises [Karjat],,01-Feb-2019,94.5,Supplier PI Pending Finance Approval,Closed,94.5,No,Maharashtra,,"30970 - Fwd: Shoe, sleeves & caps requirement before 23rd J",0,4.5
40212654,26-Feb-2019,Sahil International,,11-Mar-2019,152220,Supplier PI / Invoice Awaited,Closed,152220,Yes,Maharashtra,32108,32108 - 2100012066,0,23220
40212655,26-Feb-2019,Air Freeze Enterprise,,04-Mar-2019,3610.8,Payment to Supplier Delayed,Closed,3610.8,No,Maharashtra,30693,30693 - Re:Pressure Switch- Jockey pump,0,550.8
40212656,26-Feb-2019,Shilpa Shree Enterprises,Based On Sales Orders 10212175.,13-Feb-2019,7350,Supplier PI / Invoice Awaited,Closed,7350,No,Maharashtra,31718,31718 - Safety Items - Feb 2019,0,350
40212657,26-Feb-2019,Indian Institute of Technology Bombay,Based On Sales Orders 10212158.,30-Aug-2019,25488,Supplier PI / Invoice Awaited,Closed,25488,No,Maharashtra,31686,31686 - DD of 25488,0,3888
40212658,26-Feb-2019,Gandhi Automations Pvt. Ltd.,Based On Sales Orders 10212163.,14-Mar-2019,430700,Material Readiness: Delayed,Closed,430700,No,Maharashtra,30977,30977 - RFQ forRapid Roll Down Shutter,0,65700
40212659,26-Feb-2019,A. M. Hasanali and Sons,Based On Sales Orders 10212169.,28-Feb-2019,8400,Supplier PO Created,Closed,8400,No,Maharashtra,32007,32007 - Excess Qty of Navy Blue T-shirts,0,400
40212660,26-Feb-2019,Exzone Solutions,Based On Sales Orders 10212154.,11-Apr-2019,34810,Payment to Supplier Delayed,Closed,34810,No,Maharashtra,31284,31284 - Route through Quote required,0,5310
40212661,26-Feb-2019,Satguru Impex,Based On Sales Orders 10212170.,07-Mar-2019,29146,Material Readiness: Delayed,Closed,29146,No,Maharashtra,31555,31555 - RFQ for Apron,0,4446
40212662,26-Feb-2019,Elite Electricals and Equipment,Based On Sales Orders 10212140.,08-Mar-2019,21215.82,Supplier PI Pending Finance Approval,Closed,21215.82,No,Maharashtra,31297,"31297 - Fwd: Request for quotation 70399, 70406 and 70416",0,3236.32
40212663,26-Feb-2019,Run Tec GmbH,,26-Feb-2019,355772.74,Supplier PI / Invoice Awaited,Closed,355772.74,No,Maharashtra,29836,29836 - Fwd: RFQ - 1300039731,0,0
40212664,26-Feb-2019,Kallal Ecommerce Global Trade (OPC) Pvt. Ltd.,Based On Sales Orders 10211882.,30-Jan-2019,2589.02,Supplier PI Pending Finance Approval,Closed,2589.02,No,Maharashtra,29942,29942 - Requirement of Flow Computer Assessories,0,394.94
40212665,26-Feb-2019,Alpha Batteries,Based On Sales Orders 10211882.,30-Jan-2019,4032,Supplier PI Pending Finance Approval,Closed,4032,No,Maharashtra,29942,29942 - Requirement of Flow Computer Assessories,0,882
40212666,26-Feb-2019,Dietrich Schwabe,Based On Sales Orders 10610849.,10-Apr-2019,27669.6,Supplier PI / Invoice Awaited,Open,27669.6,No,Maharashtra,31900,"31900 - BALL COCK G1/2""",0,0
40212667,26-Feb-2019,S. S. Engineers,Based On Sales Orders 10212173.,05-Mar-2019,16874,Supplier PI Pending Finance Approval,Closed,16874,No,Maharashtra,32141,32141 - request no. 3768,0,2574
40212668,26-Feb-2019,Indo Elite,Based On Sales Orders 10212168.,07-Mar-2019,59472,Material Readiness: Delayed,Closed,59472,No,Maharashtra,31893,31893 - Regarding Balance Quantities of Neoprene Suit.,0,9072
40212669,26-Feb-2019,Bosch Ltd.,Based On Sales Orders 10212174.,26-Feb-2019,83053.12,Payment to Supplier Delayed,Closed,83053.12,No,Maharashtra,31301,31301 - Bosch GHP,0,12669.12
40212670,26-Feb-2019,M/s. Mangaldas Vanichand,Based On Sales Orders 10212172.,28-Feb-2019,45672.24,Supplier PI / Invoice Awaited,Closed,45672.24,Yes,Maharashtra,32097,32097 - FW: [EXT] Re: Requirement of FRP Chamber cover and,0,6966.96
40212671,26-Feb-2019,Apex Enterprises,,26-Feb-2019,2557615,Supplier PI / Invoice Awaited,Closed,2557615,No,Maharashtra,32178,32178 - Canon ICMF 3010 Laser Aio Printer,0,390144.6
40212672,26-Feb-2019,Someshwar Plasto Chem Pvt. Ltd.,Based On Sales Orders 10212160.,05-Mar-2019,60180,Supplier PI / Invoice Awaited,Closed,60180,No,Maharashtra,31706,31706 - FW: [EXT] Quotation - Glass box with chocolates and,0,9180
40212673,26-Feb-2019,Apex Enterprises,,26-Feb-2019,908730,Supplier PI / Invoice Awaited,Closed,908730,No,Maharashtra,32178,32178 - Canon ICMF 3010 Laser Aio Printer,0,138619.8
40212674,26-Feb-2019,Apex Enterprises,,26-Feb-2019,348124,Supplier PI / Invoice Awaited,Closed,348124,No,Maharashtra,32178,32178 - Canon ICMF 3010 Laser Aio Printer,0,53103.6
40212675,26-Feb-2019,Suzhou Chengli Electronic Material Co. Ltd.,Based On Sales Orders 10212148.,20-Mar-2019,31333.57,Supplier PI / Invoice Awaited,Closed,31333.57,Yes,Maharashtra,31992,"31992 - CIP # 2 // PO # 868I30026, 868I30027, 868I30028 //",0,4779.7
40212676,26-Feb-2019,Suzhou Chengli Electronic Material Co. Ltd.,Based On Sales Orders 10212149.,20-Mar-2019,16551.68,Supplier PI / Invoice Awaited,Closed,16551.68,Yes,Maharashtra,31991,"31991 - CIP # 2 // PO # 868I30026, 868I30027, 868I30028 //",0,0
40212677,26-Feb-2019,J.K.Knitwear,Based On Sales Orders 10212177.,12-Mar-2019,30800,Supplier PI / Invoice Awaited,Closed,30800,No,Maharashtra,32154,32154 - Fwd: RFQ : Navy blue cap,0,3300
40212678,26-Feb-2019,Lapp India Pvt. Ltd.,Based On Sales Orders 10212176.,14-Apr-2019,16687.92,Payment to Supplier Delayed,Closed,16687.92,No,Maharashtra,32116,32116 - Cable & connector request,0,2545.62
40212679,26-Feb-2019,Saver Safety Products,Based On Sales Orders 10212179.,08-Mar-2019,35840,Supplier PI / Invoice Awaited,Closed,35840,No,Maharashtra,31777,31777 - Fwd: RFQ : Marine life jacket,0,3840
40212680,26-Feb-2019,Esteem Group,Based On Sales Orders 10212181.,04-Mar-2019,5900,Payment to Supplier Delayed,Closed,5900,No,Maharashtra,30953,30953 - Provide quote for Lable printer catridge,0,900
40212681,26-Feb-2019,Aastha Exports,Based On Sales Orders 10212181.,04-Mar-2019,4704,Supplier PI Pending Finance Approval,Closed,4704,No,Maharashtra,30953,30953 - Provide quote for Lable printer catridge,0,504
40212682,26-Feb-2019,Medzone Pharmaceuticals Pvt. Ltd.,Based On Sales Orders 10212182.,13-May-2019,59000,Material Readiness: Delayed,Closed,59000,No,Maharashtra,32162,32162 - Medzone - Feb,0,9000
40212683,26-Feb-2019,Hqms Technologies,Based On Sales Orders 10212181.,04-Mar-2019,19989.2,Supplier PI Pending Finance Approval,Closed,19989.2,No,Maharashtra,30953,30953 - Provide quote for Lable printer catridge,0,3049.2
40212684,26-Feb-2019,S.M.Enterprises,Based On Sales Orders 10212178.,06-Mar-2019,2548.8,Supplier PI Pending Finance Approval,Closed,2548.8,No,Maharashtra,31660,31660 - Re: [EXTERNAL] Re: RFQ for Trays,0,388.8
40212685,27-Feb-2019,Western Steel Drums Pvt. Ltd.,Based On Sales Orders 10212144.,28-Feb-2019,118378.78,Supplier PI / Invoice Awaited,Open,118378.78,No,Maharashtra,31730,31730 - New PO # 4591578948 for Smoke Grey of Western Steel,0,18057.78
40212686,27-Feb-2019,Angara Tube India,Based On Sales Orders 10212171.,28-Feb-2019,56598.7,Payment to Supplier Delayed,Closed,56598.7,No,Maharashtra,31980,31980 - SS 304 Wires required,0,8633.7
40212687,27-Feb-2019,Shore Auto Rubber Exports Pvt. Ltd.,Based On Sales Orders 10212183.,20-Mar-2019,240153.6,Supplier PI Pending Finance Approval,Closed,240153.6,No,Maharashtra,32152,32152 - SILICON RUBBER HOSE WITH 5PLY META ARMID,0,36633.6
40212688,27-Feb-2019,Jinharsh Industrial Solutions Pvt. Ltd.,Based On Sales Orders 10212180.,05-Mar-2019,1711,Supplier PI Pending Finance Approval,Closed,1711,No,Maharashtra,30892,30892 - Fwd: Required quotation for C clamp and Tri square,0,261
40212689,27-Feb-2019,Shenzhen Jingwei Century Trade Co. Ltd.,Based On Sales Orders 10211853.,16-Feb-2019,5037.89,Supplier PI / Invoice Awaited,Closed,5037.89,No,Maharashtra,30806,30806 - RFQ for Telescopic mirror,0,0
40212690,27-Feb-2019,Design Elegance,Based On Sales Orders 10212167.,23-Mar-2019,259600,Supplier PI Pending Finance Approval,Closed,259600,No,Maharashtra,29789,29789 - Fwd: Godrej Work Station and Pedestal,0,39600
40212691,27-Feb-2019,Bostan Engineering.,,11-Mar-2019,157795.5,Material Readiness: Delayed,Open,157795.5,No,Maharashtra,32108,32108 - 2100012066,0,24070.5
40212692,27-Feb-2019,Raj Bearing,Based On Sales Orders 10212190.,01-Mar-2019,2407.2,Supplier PI Pending Finance Approval,Closed,2407.2,Yes,Maharashtra,31176,"31176 - RFQ : Request for Quotation PR#20287556 30010,100",0,367.2
40212693,27-Feb-2019,Vardhman Marketing,Based On Sales Orders 10212187.,13-Mar-2019,114607.5,Payment to Supplier Delayed,Closed,114607.5,No,Maharashtra,32169,32169 - Re:Purchase Order- 3158544,0,17482.5
40212694,27-Feb-2019,ProtekG,Based On Sales Orders 10212194.,27-Feb-2019,21830,Supplier PI Pending Finance Approval,Closed,21830,Yes,Maharashtra,32012,32012 - Servo Stabilizer,0,3330
40212695,27-Feb-2019,Jal Jyoti International,Based On Sales Orders 10212193.,15-Mar-2019,8086.9,Material Readiness: Delayed,Closed,8086.9,No,Maharashtra,31682,31682 - Requirement of NFPA Label- Make: Sigma-Aldrich,0,1233.6
40212696,27-Feb-2019,Rajlakshmi Hardware and Electricals,Based On Sales Orders 10212035.,12-Feb-2019,2440,Supplier PI / Invoice Awaited,Closed,2440,No,Maharashtra,31491,31491 - Re:Fwd: rfq/2100210379/pipeplant 26/ashirvad pipe,0,372.2
40212697,27-Feb-2019,Dhadhis Office Solutions (P) Ltd.,Based On Sales Orders 10212192.,05-Mar-2019,6690,Material Readiness: Delayed,Closed,6690,No,Maharashtra,32180,32180 - Dhadhis bill 1815 - 3rd PO,0,690
40212698,27-Feb-2019,Dhadhis Office Solutions (P) Ltd.,Based On Sales Orders 10212195.,05-Mar-2019,37298.1,Material Readiness: Delayed,Closed,37298.1,No,Maharashtra,28586,28586 - Invoice Confirmation Month Of September 2018 (Bulk),0,2426.1
40212699,21-Sep-2018,Kaysons Techno Equipments Pvt. Ltd.,,05-Mar-2019,17405,Supplier PI delayed,Open,17405,No,Maharashtra,,17032 - Open PO,0,2655
40212700,27-Feb-2019,Nilkamal Ltd.,Based On Sales Orders 10212198.,04-Mar-2019,23010,Payment to Supplier Delayed,Closed,23010,No,Maharashtra,30571,30571 - Fwd: FW: pallet trollies,0,3510
40212701,27-Feb-2019,Eltek,,27-Feb-2019,37170,Supplier PI Pending Finance Approval,Closed,37170,No,Maharashtra,,31815 - quotation for 5KVA servo stabiliser,0,5670
40212702,27-Feb-2019,Jakson and Company,Based On Sales Orders 10212199.,27-Feb-2019,27966.4,Supplier PI Pending Finance Approval,Closed,27966.4,No,Maharashtra,31877,31877 - Kirloskar Pump,0,2996.4
40212703,24-Aug-2018,Manibhadra Electricals Pvt. Ltd.,,05-Mar-2019,9760.38,Supplier PI / Invoice Awaited,Open,9760.38,No,Maharashtra,,17032 - Open PO,0,1488.88
40212704,28-Feb-2019,Myriad Promo,Based On Sales Orders 10212196.,01-Mar-2019,21063,Supplier PO Created,Closed,21063,No,Maharashtra,31797,31797 - FW: [EXT] Estimate,0,3213
40212705,05-Oct-2018,Alpha Batteries,,05-Mar-2019,2496,Supplier PI / Invoice Awaited,Open,2496,No,Maharashtra,,17032 - Open PO,0,546
40212706,24-Jul-2018,Vipal Enterprises Pvt. Ltd.,,05-Mar-2019,30331.9,Payment to Supplier Delayed,Open,30331.9,No,Maharashtra,,17032 - Open PO,0,4626.9
40212707,28-Feb-2019,S K Electricals,,28-Feb-2019,206382,Payment to Supplier Delayed,Closed,206382,No,Maharashtra,,32243 - Cable Tie Cutter & Foam,0,31482
40212708,28-Feb-2019,Paint Palace,,28-Feb-2019,4080,Supplier PI Pending Finance Approval,Open,4080,No,Maharashtra,,31523 - Velcro Paper Prabjot,0,0
40212709,28-Feb-2019,Jyotishri Furnishing,,28-Feb-2019,2500,Supplier PI Pending Finance Approval,Open,2500,No,Maharashtra,,32243 - Cable Tie Cutter & Foam,0,0
40212710,28-Feb-2019,M/s. Maa Vaishnu Hardware,,28-Feb-2019,2325,Supplier PI Pending Finance Approval,Open,2325,No,Maharashtra,,31523 - Velcro Paper Prabjot,0,0
40212711,28-Feb-2019,Nordson India Pvt Ltd.,Based On Sales Orders 10212202.,09-Mar-2019,710256.16,Payment to Supplier Delayed,Closed,710256.16,No,Maharashtra,31438,31438 - Fwd: request for quotation.,0,108344.16
40212712,28-Feb-2019,Shri Anirudha Enterprises,Based On Sales Orders 10212200.,05-Mar-2019,295,Payment to Supplier Delayed,Closed,295,No,Maharashtra,31950,31950 - Re:RFQ / 4B safety/2100283154,0,45
40212713,28-Feb-2019,Vardhman Marketing,Based On Sales Orders 10212200.,05-Mar-2019,3306.2,Payment to Supplier Delayed,Closed,3306.2,No,Maharashtra,31950,31950 - Re:RFQ / 4B safety/2100283154,0,466.2
40212714,28-Feb-2019,Ajay Sales,Based On Sales Orders 10212203.,09-Mar-2019,9440,Payment to Supplier Delayed,Closed,9440,No,Maharashtra,32228,32228 - PO 4701075161 _Zipper Bag_ Bulk MRO,0,1440
40212715,28-Feb-2019,Hightemp Industries,Based On Sales Orders 10212205.,28-Mar-2019,73676.84,Payment to Supplier Delayed,Closed,73676.84,No,Maharashtra,32241,32241 - QUOTE FOR THERMOCOUPLE WIRE,0,11238.84
40212716,28-Feb-2019,Engineering Hindustan,Based On Sales Orders 10212189.,12-Mar-2019,11278.92,Material Readiness: Delayed,Closed,11278.92,No,Maharashtra,31035,31035 - FW: Quotation for Turcite,0,1720.52
40212717,28-Feb-2019,Dhadhis Office Solutions (P) Ltd.,,28-Feb-2019,28371,Payment to Supplier Delayed,Closed,28371,No,Maharashtra,,31089 - CCD materials bill December 2018,0,2001
40212718,01-Mar-2019,Dhadhis Office Solutions (P) Ltd.,Based On Sales Orders 10212208.,05-Mar-2019,11575.5,Material Readiness: Delayed,Closed,11575.5,No,Maharashtra,32240,32240 - Supply of Coffeeday material,0,1015.5
40212719,01-Mar-2019,Shalom Safety Solutions,Based On Sales Orders 10212207.,26-Feb-2019,2283.75,Supplier PI Pending Finance Approval,Closed,2283.75,No,Maharashtra,32047,32047 - Safety Items -Direct PO - 22/02/19,0,108.75
40212720,01-Mar-2019,Adhyalaxmi Industrial Rubber And Polymers Pvt. Ltd.,,01-Mar-2019,12024.2,Supplier PI / Invoice Awaited,Closed,12024.2,Yes,Maharashtra,,32264 - Hard Rubber Strip Annamalai,0,1834.2
40212721,01-Mar-2019,Maini Auto Agencies Pvt. Ltd.,Based On Sales Orders 10212214.,21-Mar-2019,27809.8,Payment to Supplier Delayed,Closed,27809.8,No,Maharashtra,30762,30762 - RFQ for Universal Joint,0,6083.4
40212722,01-Mar-2019,Dhadhis Office Solutions (P) Ltd.,Based On Sales Orders 10212210.,05-Mar-2019,3150,Material Readiness: Delayed,Closed,3150,No,Maharashtra,32245,32245 - Supplier Invoice 1996 - Sugar,0,150
40212723,01-Mar-2019,Sabari Musicals,Based On Sales Orders 10212213.,15-Mar-2019,17700,Supplier PI / Invoice Awaited,Closed,17700,Yes,Maharashtra,31051,31051 - Reg: Send quote _ Guiter Pick 0.8 mm _ CIP II,0,2700
40212724,01-Mar-2019,Renault Bearing and Tools Company,Based On Sales Orders 10212211.,07-Mar-2019,7579.04,Material Readiness: Delayed,Closed,7579.04,No,Maharashtra,32025,32025 - SKF Bearing,0,1156.12
40212725,01-Mar-2019,Indian Institute of Technology Bombay,Based On Sales Orders 10212217.,07-Mar-2019,42480,Payment to Supplier Delayed,Closed,42480,No,Maharashtra,30497,30497 - XPS booking dd - 3,0,6480
40212726,01-Mar-2019,Indian Institute of Technology Bombay,Based On Sales Orders 10212216.,07-Feb-2019,42480,Payment to Supplier Delayed,Closed,42480,No,Maharashtra,30496,30496 - XPS booking dd - 2,0,6480
40212727,01-Mar-2019,Indian Institute of Technology Bombay,Based On Sales Orders 10212215.,07-Feb-2019,42480,Payment to Supplier Delayed,Closed,42480,No,Maharashtra,30495,30495 - XPS booking dd - 1,0,6480
40212728,01-Mar-2019,Vinayak Engitech,Based On Sales Orders 10212220.,07-Mar-2019,64782,Payment to Supplier Delayed,Closed,64782,No,Maharashtra,32263,32263 - PURCHASE ORDER FOR LOCTITE 277,0,9882
40212729,01-Mar-2019,Sagar Office Automation,Based On Sales Orders 10212212.,25-Mar-2019,44421.2,Material Readiness: Delayed,Closed,44421.2,No,Maharashtra,32171,32171 - FW: Purchase Order 4500361120,0,6181.2
40212730,01-Mar-2019,Prisha Enterprises,Based On Sales Orders 10212212.,25-Mar-2019,14237.2,Material Readiness: Delayed,Closed,14237.2,No,Maharashtra,32171,32171 - FW: Purchase Order 4500361120,0,2082.08
40212731,01-Mar-2019,Balaji Enterprises MP,Based On Sales Orders 10212218.,07-Mar-2019,14023.35,Supplier PI Pending Finance Approval,Open,14023.35,No,Maharashtra,32186,32186 - New Doc 2019-02-26 16.52.46,0,2139.15
40212732,01-Mar-2019,PV Lumens LLP,Based On Sales Orders 10212221.,02-May-2019,135992.64,Payment to Supplier Delayed,Open,135992.64,No,Maharashtra,31500,31500 - Request for Quotation # Hardware (Fasteners + Lugs),0,20744.64
40212733,01-Mar-2019,Shriram Engineering,Based On Sales Orders 10212197.,28-Feb-2019,12508,Supplier PI delayed,Closed,12508,No,Maharashtra,32036,32036 - Fwd: NEW PO#4107884,0,1908
40212734,01-Mar-2019,Bosch Ltd.,,01-Mar-2019,30372.26,Payment to Supplier Delayed,Open,30372.26,No,Maharashtra,31602,31602 - BOSCH - Angle Grinder,0,4633.06
40212735,01-Mar-2019,Govind Steel Co Limited,,07-Mar-2019,1266941.22,Supplier PI / Invoice Awaited,Open,1266941.22,No,Maharashtra,,31394 - Manhole Cover with Frame,0,193262.22
40212736,02-Mar-2019,Bosch Ltd.,,02-Mar-2019,20647.16,Payment to Supplier Delayed,Open,20647.16,No,Maharashtra,31602,31602 - BOSCH - Angle Grinder,0,3149.56
40212737,02-Mar-2019,Stanley Black and Decker India Pvt. Ltd.,,02-Mar-2019,14808.46,Supplier PI delayed,Closed,14808.46,No,Maharashtra,31338,31338 - Tools & Consumables,0,2258.92
40212738,02-Mar-2019,Bosch Ltd.,,02-Mar-2019,12390,Supplier PI Pending Finance Approval,Open,12390,No,Maharashtra,31203,31203 - BOSCH Vacuum cleaner,0,1890
40212739,02-Mar-2019,Hadeed Corporation,,02-Mar-2019,2235.68,Supplier PI delayed,Open,2235.68,No,Maharashtra,,30853 - Tee Saif,0,341.04
40212740,02-Mar-2019,Minda Systems,Based On Sales Orders 10212225.,09-Mar-2019,24494.44,Supplier PI Pending Finance Approval,Closed,24494.44,Yes,Maharashtra,32202,32202 - request no. 3771,0,3736.44
40212741,02-Mar-2019,Sayali Electrosystems,Based On Sales Orders 10212222.,29-Mar-2019,67850,Supplier PI Pending Finance Approval,Open,67850,No,Maharashtra,29538,29538 - Fwd: GEFRON POT QTN REQUIRED,0,10350
40212742,02-Mar-2019,Nathani Steels,Based On Sales Orders 10212224.,08-Mar-2019,16353.76,Material Readiness: Delayed,Closed,16353.76,No,Maharashtra,31545,31545 - Fwd: Offer required,0,778.76
40212743,02-Mar-2019,Govind Steel Co Limited,,02-Mar-2019,1268711.22,Payment to Supplier Delayed,Closed,1268711.22,No,Maharashtra,,32291 - KSS/TCO-3GI/PRO/PIC-2/OO-01-01/2019/14593,0,193532.22
40212744,02-Mar-2019,Lavanya Coat,Based On Sales Orders 10212226.,31-Mar-2019,324500,Supplier PI Pending Finance Approval,Open,324500,No,Maharashtra,32282,32282 - Fwd: RFQ_Mold heating oven,0,49500
40212745,02-Mar-2019,Indian Iron and Steel Supplier,,02-Mar-2019,15015.5,Supplier PI / Invoice Awaited,Open,15015.5,No,Maharashtra,,31262 - UPS & Gloves,0,2290.5
40212746,02-Mar-2019,Jaguar Industri Limited,Based On Sales Orders 10212223.,15-Mar-2019,57211.38,Supplier PI / Invoice Awaited,Closed,57211.38,No,Maharashtra,31622,31622 - Fwd: FW: Provide quotation for Jaguar Integrated Th,0,0
40212747,02-Mar-2019,Shriram Engineering,,02-Mar-2019,101837.54,Payment to Supplier Delayed,Closed,101837.54,No,Maharashtra,,30241 - Compressor Installation Udaipur Project,0,15534.54
40212748,02-Mar-2019,Shriram Engineering,,02-Mar-2019,119202.42,Payment to Supplier Delayed,Closed,119202.42,No,Maharashtra,,30241 - Compressor Installation Udaipur Project,0,18183.42
40212749,02-Mar-2019,Pangea Econetassets Pvt. Ltd.,Based On Sales Orders 10212227.,05-Mar-2019,86530,Supplier PI Pending Finance Approval,Closed,86530,No,Maharashtra,32214,32214 - URGENT REQUIREMNET-ROUTE THROUGH PAYMENT,0,0
40212750,02-Mar-2019,Stanley Black and Decker India Pvt. Ltd.,,02-Mar-2019,7104.32,Payment to Supplier Delayed,Open,7104.32,No,Maharashtra,31942,31942 - Stanley tools,0,1083.72
40212751,04-Mar-2019,Bhagirath Bearings Pvt. Ltd.,Based On Sales Orders 10212204.,07-Mar-2019,1387.68,Material Readiness: Delayed,Closed,1387.68,No,Maharashtra,31814,31814 - Huboo PO#4591580844,0,211.68
40212752,04-Mar-2019,Microfine Pharma Pvt. Ltd.,Based On Sales Orders 10212229.,09-Mar-2019,8555,Material Readiness: Delayed,Closed,8555,No,Maharashtra,32271,32271 - Request - 3766,0,1305
40212753,04-Mar-2019,Nido Machineries Pvt. Ltd.,,04-Mar-2019,46610,Supplier PI / Invoice Awaited,Closed,46610,Yes,Maharashtra,31180,31180 - Drum Lifter,0,7110
40212754,04-Mar-2019,Sanket S Kamble,Based On Sales Orders 10212201.,01-Mar-2019,8000,Supplier PI Pending Finance Approval,Closed,8000,No,Maharashtra,31700,31700 - FW: [EXT] Estimate for Schwarzkopf Distributer's Me,0,0
40212755,04-Mar-2019,Goyal Brothers,Based On Sales Orders 10212232.,05-Mar-2019,23114.94,Supplier PO Created,Closed,23114.94,No,Maharashtra,32030,"32030 - RFQ : Request for Quotation PR#20288803 60,20288803",0,3437.94
40212756,05-Mar-2019,Air Control Systems,Based On Sales Orders 10212237.,01-Apr-2019,106200,Supplier PI / Invoice Awaited,Closed,106200,Yes,Maharashtra,32146,32146 - Fwd: RFQ_Mold heating oven,0,16200
40212757,05-Mar-2019,Bosch Ltd.,Based On Sales Orders 10212234.,25-Mar-2019,28027.36,Supplier PI Pending Finance Approval,Closed,28027.36,Yes,Maharashtra,31820,31820 - Fwd: RFQ for Tool room equipment's,0,4275.36
40212758,05-Mar-2019,M/S Riya Engineering and Corporation,Based On Sales Orders 10212235.,30-Dec-2018,342.2,Supplier PO Created,Closed,342.2,No,Maharashtra,30477,30477 - Measuring Tape,0,52.2
40212759,05-Mar-2019,Western Steel Drums Pvt. Ltd.,Based On Sales Orders 10212240.,15-Mar-2019,191118.7,Supplier PI Pending Finance Approval,Closed,191118.7,No,Maharashtra,32298,32298 - New PO # 4591591932 for Lacquer coated drum of West,0,29153.7
40212760,05-Mar-2019,Protek Enterprises,,05-Mar-2019,21830,Payment to Supplier Delayed,Closed,21830,No,Maharashtra,,32012 - Servo Stabilizer,0,3330
