#,Date,Customer,Remarks,Due Date,Branch,Document Total (FC),Document Total (SC),Document Status,Canceled,Document Total,Project,Inside Sales Owner,Cancelation Date,Original Ref. No.,Tax Amount (SC)
10610161,21-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 399.,05-Jun-2018,Gujarat,0,22921.5,Closed,No,22921.5,18742,Piyush Yadav,05-Jul-2018,,3496.5
10610160,21-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 991.,25-Jun-2018,Gujarat,0,18432,Closed,No,18432,21331,Prit Patel,25-Jul-2018,,4032
10610159,20-Jun-2018,GHCL Ltd.,Based On Sales Quotations 983.,30-Jul-2018,Gujarat,0,5349.23,Open,No,5349.23,21313,Prit Patel,29-Aug-2018,,815.98
10610158,20-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 980.,29-Jun-2018,Gujarat,0,208888.32,Closed,No,208888.32,20166,Dhrumil Patel,29-Jul-2018,,31864.32
10610157,20-Jun-2018,ABB India Ltd.,Based On Sales Quotations 975.,29-Jun-2018,Gujarat,0,3245,Closed,Yes,3245,21301,Dhrumil Patel,29-Jul-2018,,495
10610156,20-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 185.,20-Jun-2018,Gujarat,0,74363.6,Closed,No,74363.6,18549,Prit Patel,20-Jul-2018,,11343.6
10610155,20-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 366.,26-Jun-2018,Gujarat,0,6033.94,Closed,No,6033.94,21135,Prit Patel,26-Jul-2018,,920.44
10610154,20-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 966.,29-Jun-2018,Gujarat,0,4471578.14,Closed,No,4471578.14,21270,Piyush Yadav,29-Jul-2018,,682105.14
10610153,19-Jun-2018,GHCL Ltd.,Based On Sales Quotations 952.,21-Jun-2018,Gujarat,0,20408.1,Closed,No,20408.1,21080,Prit Patel,21-Jul-2018,,3113.1
10610152,19-Jun-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 280.,31-Mar-2018,Gujarat,0,29146,Open,No,29146,18814,Piyush Yadav,30-Apr-2018,,4446
10610151,19-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 820.,27-Jun-2018,Gujarat,0,57755.1,Open,No,57755.1,20971,Neel Patel,27-Jul-2018,,8810.1
10610150,18-Jun-2018,ABB India Ltd.,Based On Sales Quotations 921.,29-Jun-2018,Gujarat,0,51913.28,Closed,No,51913.28,21118,Piyush Yadav,29-Jul-2018,,5867.28
10610149,18-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 916.,22-Jun-2018,Gujarat,0,89586.83,Closed,No,89586.83,21161,Avni Shah,22-Jul-2018,,13665.78
10610148,18-Jun-2018,ABB India Ltd.,Based On Sales Quotations 934.,29-Jun-2018,Gujarat,0,3540,Closed,No,3540,21221,Piyush Yadav,29-Jul-2018,,540
10610147,18-Jun-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 60.,08-May-2017,Gujarat,0,282568.7,Open,No,282568.7,10491,Prit Patel,07-Jun-2017,,43103.7
10610146,18-Jun-2018,ABB India Ltd.,Based On Sales Quotations 921.,29-Jun-2018,Gujarat,0,54334.28,Closed,Yes,54334.28,21118,Piyush Yadav,29-Jul-2018,,8288.28
10610145,18-Jun-2018,ABB India Ltd.,Based On Sales Quotations 929.,29-Jun-2018,Gujarat,0,896.8,Open,No,896.8,21224,Piyush Yadav,29-Jul-2018,,136.8
10610144,18-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 924.,10-Jul-2018,Gujarat,0,91119.6,Closed,No,91119.6,21214,Prit Patel,09-Aug-2018,,13899.6
10610143,16-Jun-2018,Plasser India Pvt. Ltd.,Based On Sales Quotations 914.,20-Jun-2018,Gujarat,0,47750.82,Closed,No,47750.82,21202,Neel Patel,20-Jul-2018,,7051.82
10610142,16-Jun-2018,ABB India Ltd.,Based On Sales Quotations 923.,29-Jun-2018,Gujarat,0,63814.42,Closed,No,63814.42,21216,Piyush Yadav,29-Jul-2018,,9734.42
10610141,16-Jun-2018,GHCL Ltd.,Based On Sales Quotations 920.,26-Jul-2018,Gujarat,0,12801.6,Open,No,12801.6,21209,Prit Patel,25-Aug-2018,,1952.8
10610140,15-Jun-2018,ABB India Ltd.,Based On Sales Quotations 899.,30-Jun-2018,Gujarat,0,169937.42,Open,No,169937.42,21121,Piyush Yadav,30-Jul-2018,,25922.72
10610139,15-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 715.,29-Jun-2018,Gujarat,0,100300,Closed,No,100300,20942,Harsh Patel,29-Jul-2018,,15300
10610138,14-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 860.,29-Jun-2018,Gujarat,0,18864.66,Closed,No,18864.66,20981,Avni Shah,29-Jul-2018,,2877.66
10610137,14-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 863.,18-Jun-2018,Gujarat,0,3304,Closed,No,3304,21141,Prit Patel,18-Jul-2018,,504
10610136,14-Jun-2018,John Energy Ltd.,Based On Sales Quotations 103.,27-Apr-2018,Gujarat,0,758571.26,Closed,No,758571.26,18376,Rajani Kyatham,27-May-2018,,115714.26
10610135,13-Jun-2018,GHCL Ltd.,Based On Sales Quotations 835.,23-Jul-2018,Gujarat,0,3717,Open,No,3717,21030,Prit Patel,22-Aug-2018,,567
10610134,13-Jun-2018,John Energy Ltd.,Based On Sales Quotations 367.,24-Apr-2018,Gujarat,0,3873204.48,Closed,No,3873204.48,17425,Rajani Kyatham,24-May-2018,,590827.8
10610133,13-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 857.,15-Jun-2018,Gujarat,0,353834.8,Closed,No,353834.8,19866,Avni Shah,15-Jul-2018,,53974.8
10610132,13-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 368.,05-Jun-2018,Gujarat,0,91770,Open,No,91770,21134,Piyush Yadav,05-Jul-2018,,4370
10610131,13-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 855.,04-Jul-2018,Gujarat,0,171900,Closed,No,171900,20988,Prit Patel,03-Aug-2018,,0
10610130,13-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 851.,20-Jun-2018,Gujarat,0,57112,Closed,No,57112,20928,Prit Patel,20-Jul-2018,,8712
10610129,13-Jun-2018,GHCL Ltd.,Based On Sales Quotations 844.,18-Jul-2018,Gujarat,0,26935.86,Closed,No,26935.86,20631,Prit Patel,17-Aug-2018,,4108.86
10610128,12-Jun-2018,GHCL Ltd.,Based On Sales Quotations 840.,19-Jul-2018,Gujarat,0,600.62,Closed,No,600.62,21033,Prit Patel,18-Aug-2018,,91.62
10610127,13-Jun-2018,John Energy Ltd.,Based On Sales Quotations 837.,29-Jun-2018,Gujarat,0,138650,Closed,No,138650,21070,Neel Patel,29-Jul-2018,,21150
10610126,12-Jun-2018,GHCL Ltd.,Based On Sales Quotations 838.,12-Jul-2018,Gujarat,0,4420.28,Open,No,4420.28,21020,Prit Patel,11-Aug-2018,,674.28
10610125,12-Jun-2018,GHCL Ltd.,Based On Sales Quotations 833.,05-Jul-2018,Gujarat,0,913.32,Open,No,913.32,21019,Prit Patel,04-Aug-2018,,139.32
10610124,12-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 360.,20-Jun-2018,Gujarat,0,23594.1,Closed,No,23594.1,21103,Prit Patel,20-Jul-2018,,3599.1
10610123,12-Jun-2018,GHCL Ltd.,Based On Sales Quotations 824.,05-Jul-2018,Gujarat,0,18056.53,Open,No,18056.53,21023,Prit Patel,04-Aug-2018,,2754.38
10610122,12-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 799.,29-Jun-2018,Gujarat,0,212885.52,Closed,Yes,212885.52,20166,Dhrumil Patel,29-Jul-2018,,35861.52
10610121,11-Jun-2018,GHCL Ltd.,Based On Sales Quotations 775.,26-Jul-2018,Gujarat,0,567.58,Open,No,567.58,21017,Prit Patel,25-Aug-2018,,86.58
10610120,11-Jun-2018,GHCL Ltd.,Based On Sales Quotations 766.,16-Jul-2018,Gujarat,0,7756.14,Closed,No,7756.14,20929,Prit Patel,15-Aug-2018,,1183.14
10610119,11-Jun-2018,GHCL Ltd.,Based On Sales Quotations 795.,05-Jul-2018,Gujarat,0,3878.22,Open,No,3878.22,21018,Prit Patel,04-Aug-2018,,591.6
10610118,08-Jun-2018,Metso India Pvt. Ltd.,Based On Sales Quotations 343.,16-Mar-2018,Gujarat,0,5877.76,Closed,No,5877.76,18819,Piyush Yadav,15-Apr-2018,,1285.76
10610117,08-Jun-2018,GE T and D India Ltd.,Based On Sales Quotations 424.,15-Jun-2018,Gujarat,0,12596.5,Closed,No,12596.5,20610,Prit Patel,15-Jul-2018,,1921.5
10610116,06-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 732.,28-Jun-2018,Gujarat,0,30800,Open,No,30800,19878,Avni Shah,28-Jul-2018,,3300
10610115,06-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 725.,29-Jun-2018,Gujarat,0,417651.34,Open,No,417651.34,19876,Avni Shah,29-Jul-2018,,63709.54
10610114,06-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 724.,28-Jun-2018,Gujarat,0,30800,Closed,Yes,30800,19878,Avni Shah,28-Jul-2018,,3300
10610113,06-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 712.,29-Jun-2018,Gujarat,0,35053.08,Closed,No,35053.08,19847,Avni Shah,29-Jul-2018,,5347.08
10610112,06-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 709.,12-Jun-2018,Gujarat,0,10616.46,Closed,No,10616.46,20611,Dhrumil Patel,12-Jul-2018,,1619.46
10610111,05-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 639.,29-Jun-2018,Gujarat,0,75756,Open,No,75756,20917,Avni Shah,29-Jul-2018,,11556
10610110,04-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 653.,11-Jun-2018,Gujarat,0,2596,Closed,No,2596,20923,Prit Patel,11-Jul-2018,,396
10610109,04-Jun-2018,GHCL Ltd.,Based On Sales Quotations 576.,26-Jun-2018,Gujarat,0,31057.6,Closed,No,31057.6,20088,Prit Patel,26-Jul-2018,,4737.6
10610108,02-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 586.,31-Jul-2018,Gujarat,0,460672,Open,No,460672,20890,Avni Shah,30-Aug-2018,,70272
10610107,04-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 430.,15-Jun-2018,Gujarat,0,24922,Closed,No,24922,20155,Prit Patel,15-Jul-2018,,5022
10610106,01-Jun-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 569.,15-Jun-2018,Gujarat,0,45595.2,Closed,No,45595.2,20786,Prit Patel,15-Jul-2018,,6955.2
10610105,01-Jun-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 560.,20-Jul-2018,Gujarat,0,6657.56,Closed,No,6657.56,20855,Dhrumil Patel,19-Aug-2018,,1015.56
10610104,31-May-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 545.,31-Jul-2018,Gujarat,0,267152,Open,No,267152,20720,Avni Shah,30-Aug-2018,,40752
10610103,31-May-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 481.,31-May-2018,Gujarat,0,857586.28,Open,No,857586.28,19668,Avni Shah,30-Jun-2018,,140351.46
10610102,30-May-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 508.,31-Oct-2018,Gujarat,0,739883.6,Open,No,739883.6,20792,Avni Shah,30-Nov-2018,,112863.6
10610101,30-May-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 507.,20-Jul-2018,Gujarat,0,36151.66,Closed,No,36151.66,19967,Dhrumil Patel,19-Aug-2018,,5514.66
10610100,30-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 211.,15-Jun-2018,Gujarat,0,61194.24,Closed,No,61194.24,19705,Prit Patel,15-Jul-2018,,13386.24
10610099,30-May-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 491.,29-Jun-2018,Gujarat,0,787932.4,Closed,Yes,787932.4,20755,Avni Shah,29-Jul-2018,,100154.4
10610098,30-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 305.,15-Jun-2018,Gujarat,0,19648.66,Closed,No,19648.66,20785,Prit Patel,15-Jul-2018,,935.66
10610097,30-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 501.,15-Jun-2018,Gujarat,0,8400,Closed,No,8400,20779,Prit Patel,15-Jul-2018,,900
10610096,30-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 420.,08-Jun-2018,Gujarat,0,50400,Closed,No,50400,20643,Prit Patel,08-Jul-2018,,5400
10610095,30-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 427.,15-Jun-2018,Gujarat,0,155594.32,Open,No,155594.32,19917,Prit Patel,15-Jul-2018,,16670.82
10610094,30-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 462.,28-May-2018,Gujarat,0,45584,Closed,No,45584,19740,Prit Patel,27-Jun-2018,,5424
10610093,29-May-2018,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 485.,28-Jul-2018,Gujarat,0,237820.8,Open,No,237820.8,19921,Dhrumil Patel,27-Aug-2018,,41885.8
10610092,25-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 221.,20-Apr-2018,Gujarat,0,83860.24,Open,No,83860.24,18913,Prit Patel,20-May-2018,,12792.24
10610091,25-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 429.,31-May-2018,Gujarat,0,17755.65,Closed,No,17755.65,20651,Avni Shah,30-Jun-2018,,2708.48
10610090,24-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 35.,05-Jun-2018,Gujarat,0,28320,Open,No,28320,18352,Piyush Yadav,05-Jul-2018,,4320
10610089,24-May-2018,GE T and D India Ltd.,Based On Sales Quotations 295.,07-Jun-2018,Gujarat,0,34783.45,Closed,No,34783.45,20096,Prit Patel,07-Jul-2018,,5305.95
10610088,24-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 401.,31-May-2018,Gujarat,0,1869.12,Closed,No,1869.12,20058,Neel Patel,30-Jun-2018,,285.12
10610087,23-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 332.,07-Jun-2018,Gujarat,0,46836.65,Closed,No,46836.65,19558,Prit Patel,07-Jul-2018,,7144.58
10610086,23-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 199.,15-Jun-2018,Gujarat,0,233227,Closed,No,233227,18719,Prit Patel,15-Jul-2018,,35577
10610085,21-May-2018,IEC-TCL Ingenious Energy LLP,Based On Sales Quotations 341.,22-May-2018,Gujarat,0,994730.63,Closed,No,994730.63,20151,Devang Shah,21-Jun-2018,,47368.13
10610084,21-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 336.,06-Jul-2018,Gujarat,0,2947.64,Closed,No,2947.64,20024,Dhrumil Patel,05-Aug-2018,,449.64
10610083,19-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 54.,20-Apr-2018,Gujarat,0,83860.24,Closed,Yes,83860.24,18913,Prit Patel,20-May-2018,,12792.24
10610082,19-May-2018,GE T and D India Ltd.,Based On Sales Quotations 327.,09-May-2018,Gujarat,0,12820.2,Closed,No,12820.2,19959,Prit Patel,08-Jun-2018,,1780.2
10610081,11-May-2018,John Energy Ltd.,Based On Sales Quotations 293.,11-May-2018,Gujarat,0,6041836,Closed,Yes,6041836,19922,Rajani Kyatham,10-Jun-2018,,921636
10610080,15-May-2018,John Energy Ltd.,Based On Sales Quotations 166.,27-Apr-2018,Gujarat,0,758571,Closed,No,758571,18379,Rajani Kyatham,27-May-2018,,115714.26
10610079,14-May-2018,Dhiren Traders,Based On Sales Quotations 189.,11-May-2018,Gujarat,0,52392,Closed,No,52392,19926,Prit Patel,10-Jun-2018,,7992
10610078,11-May-2018,GE T and D India Ltd.,Based On Sales Quotations 175.,09-May-2018,Gujarat,0,13027.2,Closed,Yes,13027.2,19959,Prit Patel,08-Jun-2018,,1987.2
10610077,14-May-2018,GE T and D India Ltd.,Based On Sales Quotations 175.,09-May-2018,Gujarat,0,13027.2,Closed,Yes,13027.2,19959,Prit Patel,08-Jun-2018,,1987.2
10610076,11-May-2018,John Energy Ltd.,Based On Sales Quotations 169.,23-May-2018,Gujarat,0,6041836,Closed,Yes,6041836,19922,Rajani Kyatham,22-Jun-2018,,921636
10610075,11-May-2018,Deep Industries Ltd.,Based On Sales Quotations 193.,01-Jun-2018,Gujarat,0,9888.4,Closed,No,9888.4,19865,Neel Patel,01-Jul-2018,,1508.4
10610074,11-May-2018,Deep Industries Ltd.,Based On Sales Quotations 192.,01-Jun-2018,Gujarat,0,9888.4,Closed,No,9888.4,19863,Neel Patel,01-Jul-2018,,1508.4
10610073,11-May-2018,Deep Industries Ltd.,Based On Sales Quotations 190.,01-Jun-2018,Gujarat,0,9888.4,Closed,No,9888.4,19862,Neel Patel,01-Jul-2018,,1508.4
10610072,11-May-2018,Deep Industries Ltd.,Based On Sales Quotations 160.,01-Jun-2018,Gujarat,0,9888.4,Closed,No,9888.4,19620,Neel Patel,01-Jul-2018,,1508.4
10610071,04-May-2018,Sukan Engineering Pvt. Ltd.,Based On Sales Quotations 139.,12-May-2018,Gujarat,0,24172.31,Closed,No,24172.31,,Dhrumil Patel,11-Jun-2018,,3687.31
10610070,04-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 109.,01-Jun-2018,Gujarat,0,7835.2,Closed,No,7835.2,,Prit Patel,01-Jul-2018,,1195.2
10610069,04-May-2018,John Energy Ltd.,Based On Sales Quotations 90.,17-May-2018,Gujarat,0,24190,Closed,No,24190,,Neel Patel,16-Jun-2018,,3690
10610068,04-May-2018,John Energy Ltd.,Based On Sales Quotations 91.,17-May-2018,Gujarat,0,24190,Closed,No,24190,,Neel Patel,16-Jun-2018,,3690
10610067,04-May-2018,John Energy Ltd.,Based On Sales Quotations 92.,17-May-2018,Gujarat,0,24190,Closed,No,24190,,Neel Patel,16-Jun-2018,,3690
10610066,04-May-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 121.,02-May-2018,Gujarat,0,12840.27,Closed,No,12840.27,,Prit Patel,01-Jun-2018,,1035.54
10610065,04-May-2018,John Energy Ltd.,Based On Sales Quotations 93.,17-May-2018,Gujarat,0,24190,Closed,No,24190,,Neel Patel,16-Jun-2018,,3690
10610064,04-May-2018,John Energy Ltd.,Based On Sales Quotations 94.,17-May-2018,Gujarat,0,24190,Closed,No,24190,,Neel Patel,16-Jun-2018,,3690
10610063,03-May-2018,John Energy Ltd.,Based On Sales Quotations 80.,17-May-2018,Gujarat,0,24190,Closed,No,24190,,Neel Patel,16-Jun-2018,,3690
10610062,03-May-2018,John Energy Ltd.,Based On Sales Quotations 95.,17-May-2018,Gujarat,0,24190,Closed,No,24190,,Neel Patel,16-Jun-2018,,3690
10610061,03-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 66.,02-Jun-2018,Gujarat,0,3990,Closed,No,3990,,Piyush Yadav,02-Jul-2018,,190
10610060,03-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 40.,22-Apr-2018,Gujarat,0,12390,Closed,No,12390,,Piyush Yadav,22-May-2018,,1890
10610059,03-May-2018,John Energy Ltd.,Based On Sales Quotations 39.,05-Apr-2018,Gujarat,0,188800,Closed,No,188800,,Neel Patel,05-May-2018,,28800
10610058,02-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 148.,01-Jun-2018,Gujarat,0,1614.74,Closed,No,1614.74,,Avni Shah,01-Jul-2018,,246.32
10610057,02-May-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 70.,17-May-2018,Gujarat,0,11922.72,Closed,No,11922.72,,Dhrumil Patel,16-Jun-2018,,1818.72
10610055,30-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 62.,27-May-2018,Gujarat,0,57154.86,Closed,No,57154.86,,Prit Patel,26-Jun-2018,,8718.54
10610054,30-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 61.,10-May-2018,Gujarat,0,4166.16,Closed,No,4166.16,,Prit Patel,09-Jun-2018,,635.52
10610053,30-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 59.,30-May-2018,Gujarat,0,8024,Closed,No,8024,,Prit Patel,29-Jun-2018,,1224
10610052,30-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 57.,30-May-2018,Gujarat,0,137568.58,Closed,No,137568.58,,Avni Shah,29-Jun-2018,,20507.58
10610051,30-Apr-2018,John Energy Ltd.,Based On Sales Quotations 104.,05-Apr-2018,Gujarat,0,758571.26,Closed,No,758571.26,,Rajani Kyatham,05-May-2018,,115714.26
10610050,30-Apr-2018,John Energy Ltd.,Based On Sales Quotations 103.,05-Apr-2018,Gujarat,0,758571.26,Closed,Yes,758571.26,,Rajani Kyatham,05-May-2018,,115714.26
10610049,30-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 17.,27-May-2018,Gujarat,0,19175,Open,No,19175,,Prit Patel,26-Jun-2018,,2925
10610048,30-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 34.,04-May-2018,Gujarat,0,55807.04,Closed,No,55807.04,,Prit Patel,03-Jun-2018,,8512.94
10610047,30-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 147.,19-May-2018,Gujarat,0,566938.77,Open,No,566938.77,,Avni Shah,18-Jun-2018,,86412.64
10610046,26-Apr-2018,John Energy Ltd.,Based On Sales Quotations 102.,05-Apr-2018,Gujarat,0,758571.26,Closed,No,758571.26,,Rajani Kyatham,05-May-2018,,115714.26
10610045,26-Apr-2018,John Energy Ltd.,Based On Sales Quotations 109.,05-Apr-2018,Gujarat,0,758571.26,Closed,No,758571.26,,Rajani Kyatham,05-May-2018,,115714.26
10610044,26-Apr-2018,John Energy Ltd.,Based On Sales Quotations 101.,05-Apr-2018,Gujarat,0,758571.26,Closed,No,758571.26,,Rajani Kyatham,05-May-2018,,115714.26
10610043,26-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 79.,26-May-2018,Gujarat,0,56640,Closed,No,56640,,Prit Patel,25-Jun-2018,,8640
10610042,24-Apr-2018,John Energy Ltd.,Based On Sales Quotations 100.,28-Feb-2018,Gujarat,0,3873204.48,Closed,Yes,3873204.48,,Rehana Mulani,30-Mar-2018,,590827.8
10610041,24-Apr-2018,John Energy Ltd.,Based On Sales Quotations 99.,23-Feb-2018,Gujarat,0,3813264.11,Closed,No,3813264.11,,Rehana Mulani,25-Mar-2018,,581684.36
10610040,24-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 26.,22-Dec-2017,Gujarat,0,591003,Open,No,591003,,Piyush Yadav,21-Jan-2018,,90153
10610039,21-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 64.,20-May-2018,Gujarat,0,1232,Closed,No,1232,,Piyush Yadav,19-Jun-2018,,132
10610038,21-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 41.,11-May-2018,Gujarat,0,4224,Closed,No,4224,,Prit Patel,10-Jun-2018,,924
10610037,20-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 119.,12-May-2018,Gujarat,0,22926.28,Closed,No,22926.28,,Prit Patel,11-Jun-2018,,2564.28
10610036,20-Apr-2018,GE T and D India Ltd.,Based On Sales Quotations 37.,16-May-2018,Gujarat,0,914.74,Closed,No,914.74,,Prit Patel,15-Jun-2018,,139.54
10610034,19-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 63.,26-Apr-2018,Gujarat,0,14980.1,Closed,No,14980.1,,Neel Patel,26-May-2018,,2285.1
10610033,19-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 33.,17-May-2018,Gujarat,0,30609.2,Closed,No,30609.2,,Prit Patel,16-Jun-2018,,4669.2
10610032,18-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 44.,29-Mar-2018,Gujarat,0,50976,Closed,No,50976,,Prit Patel,28-Apr-2018,,7776
10610031,18-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 145.,18-May-2018,Gujarat,0,12602.4,Closed,No,12602.4,,Prit Patel,17-Jun-2018,,1922.4
10610030,18-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 37.,18-Apr-2018,Gujarat,0,98131.16,Closed,No,98131.16,,Prit Patel,18-May-2018,,14969.16
10610029,17-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 73.,03-May-2018,Gujarat,0,26762.4,Closed,No,26762.4,,Prit Patel,02-Jun-2018,,4082.4
10610028,17-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 35.,05-Apr-2018,Gujarat,0,5664,Closed,Yes,5664,,Piyush Yadav,05-May-2018,,864
10610027,17-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 33.,28-Apr-2018,Gujarat,0,9381,Closed,No,9381,,Prit Patel,28-May-2018,,1431
10610026,16-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 113.,20-Apr-2018,Gujarat,0,3990,Closed,No,3990,,Piyush Yadav,20-May-2018,,190
10610024,16-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 61.,04-May-2018,Gujarat,0,18644,Closed,No,18644,,Piyush Yadav,03-Jun-2018,,2844
10610023,16-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 103.,04-May-2018,Gujarat,0,49729.16,Open,No,49729.16,,Neel Patel,03-Jun-2018,,7709.16
10610022,12-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 99.,06-May-2018,Gujarat,0,770009,Closed,No,770009,,Dhrumil Patel,05-Jun-2018,,117459
10610021,11-Apr-2018,John Energy Ltd.,Based On Sales Quotations 58.,26-Apr-2018,Gujarat,0,96760,Open,No,96760,,Neel Patel,26-May-2018,,14760
10610020,11-Apr-2018,GE T and D India Ltd.,Based On Sales Quotations 56.,21-Apr-2018,Gujarat,0,12596.5,Closed,No,12596.5,,Prit Patel,21-May-2018,,1921.5
10610018,10-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 94.,10-May-2018,Gujarat,0,7835.2,Closed,No,7835.2,,Prit Patel,09-Jun-2018,,1195.2
10610017,10-Apr-2018,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 53.,10-Mar-2018,Gujarat,0,134581.36,Closed,No,134581.36,,Prit Patel,09-Apr-2018,,20529.36
10610014,10-Apr-2018,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 40.,22-Apr-2018,Gujarat,0,619.5,Closed,No,619.5,,Piyush Yadav,22-May-2018,,94.5
